,Unnamed: 0,ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
660,660,660,Komisariat 661,"ul. Wesoła 173
43-914 Ostrów Mazowiecka",18
661,661,661,Komisariat 662,"al. Rynek 25
99-068 Kościerzyna",25
662,662,662,Komisariat 663,"pl. Niecała 28
03-078 Konin",21
663,663,663,Komisariat 664,"al. Liliowa 188
48-609 Leszno",16
664,664,664,Komisariat 665,"ulica Kasprowicza 19/49
42-614 Knurów",19
665,665,665,Komisariat 666,"ul. Pułaskiego 89/49
70-947 Stargard Szczeciński",13
666,666,666,Komisariat 667,"plac Głogowa 56/28
29-468 Świnoujście",17
667,667,667,Komisariat 668,"ul. Lotnicza 104
35-304 Leszno",19
668,668,668,Komisariat 669,"ul. Bydgoska 993
14-453 Słupsk",19
669,669,669,Komisariat 670,"pl. Kreta 639
40-165 Tarnowskie Góry",19
670,670,670,Komisariat 671,"plac Dąbrowskiego 534
55-515 Chełm",20
671,671,671,Komisariat 672,"al. Gałczynskiego 04
81-459 Radom",13
672,672,672,Komisariat 673,"aleja Makowa 223
18-733 Zduńska Wola",23
673,673,673,Komisariat 674,"al. Mickiewicza 22
96-232 Biała Podlaska",18
674,674,674,Komisariat 675,"ulica Jasna 58/69
58-338 Brodnica",20
675,675,675,Komisariat 676,"aleja Chopina 37
70-594 Swarzędz",18
676,676,676,Komisariat 677,"plac Orzeszkowej 154
09-331 Pabianice",21
677,677,677,Komisariat 678,"ulica Wspólna 376
21-979 Elbląg",15
678,678,678,Komisariat 679,"ulica Zielna 60/57
92-001 Tarnowskie Góry",22
679,679,679,Komisariat 680,"pl. Jaworowa 76/44
56-185 Sopot",15
680,680,680,Komisariat 681,"al. Fabryczna 74/18
99-808 Bielawa",25
681,681,681,Komisariat 682,"plac Wiejska 01
12-507 Oława",15
682,682,682,Komisariat 683,"pl. Orzeszkowej 80/27
73-965 Słupsk",22
683,683,683,Komisariat 684,"pl. Storczykowa 00/67
95-667 Wejherowo",18
684,684,684,Komisariat 685,"al. Kruczkowskiego 481
91-963 Starogard Gdański",20
685,685,685,Komisariat 686,"al. Lwowska 39/26
46-129 Wołomin",20
686,686,686,Komisariat 687,"al. Korfantego 259
65-459 Mysłowice",16
687,687,687,Komisariat 688,"aleja Sarnia 076
06-606 Sopot",24
688,688,688,Komisariat 689,"plac Floriana 510
67-402 Sieradz",20
689,689,689,Komisariat 690,"ul. Królewska 050
96-454 Mysłowice",19
690,690,690,Komisariat 691,"aleja Odrzańska 18
12-573 Koszalin",17
691,691,691,Komisariat 692,"aleja Skośna 96
30-937 Zambrów",28
692,692,692,Komisariat 693,"ulica Jarzębinowa 16
40-896 Kętrzyn",18
693,693,693,Komisariat 694,"pl. Wrzosowa 21/74
25-939 Świdnik",20
694,694,694,Komisariat 695,"ulica Przemysłowa 35
87-367 Bielsk Podlaski",28
695,695,695,Komisariat 696,"aleja Staszica 07
29-891 Zabrze",18
696,696,696,Komisariat 697,"pl. Zacisze 43
21-775 Łowicz",15
697,697,697,Komisariat 698,"pl. Chopina 62/68
35-051 Bytom",24
698,698,698,Komisariat 699,"ulica Widok 11/49
41-788 Dzierżoniów",21
699,699,699,Komisariat 700,"al. Wyzwolenia 092
91-026 Tomaszów Mazowiecki",24
700,700,700,Komisariat 701,"al. Letniskowa 36/18
98-519 Łódź",12
701,701,701,Komisariat 702,"pl. Wąska 06
99-377 Tomaszów Mazowiecki",17
702,702,702,Komisariat 703,"al. Zbożowa 85
32-045 Tczew",24
703,703,703,Komisariat 704,"pl. Malinowa 501
55-829 Żory",17
704,704,704,Komisariat 705,"aleja Zacisze 58
26-519 Puławy",22
705,705,705,Komisariat 706,"pl. Konarskiego 108
11-961 Chorzów",12
706,706,706,Komisariat 707,"ulica Liliowa 154
80-968 Białystok",20
707,707,707,Komisariat 708,"plac Partyzantów 263
75-248 Pszczyna",18
708,708,708,Komisariat 709,"aleja Orzeszkowej 09/20
27-614 Zgierz",24
709,709,709,Komisariat 710,"al. Turkusowa 62/16
35-452 Puławy",19
710,710,710,Komisariat 711,"ulica Cedrowa 527
62-792 Tarnowskie Góry",21
711,711,711,Komisariat 712,"ulica Dąbrowskiej 37
10-507 Olsztyn",19
712,712,712,Komisariat 713,"ulica Dojazdowa 259
21-395 Jastrzębie-Zdrój",17
713,713,713,Komisariat 714,"pl. Odrzańska 473
58-004 Legionowo",19
714,714,714,Komisariat 715,"al. Mazurska 60/53
50-530 Reda",21
715,715,715,Komisariat 716,"al. Jagodowa 89
19-059 Dąbrowa Górnicza",14
716,716,716,Komisariat 717,"ulica Wrocławska 79
14-341 Jelenia Góra",16
717,717,717,Komisariat 718,"aleja Magnoliowa 97/23
45-298 Bolesławiec",22
718,718,718,Komisariat 719,"plac Pułaskiego 35
25-918 Swarzędz",21
719,719,719,Komisariat 720,"pl. Opolska 44/56
08-916 Leszno",13
720,720,720,Komisariat 721,"ulica Fabryczna 10
10-960 Dąbrowa Górnicza",16
721,721,721,Komisariat 722,"aleja Batalionów Chłopskich 553
68-698 Pruszków",21
722,722,722,Komisariat 723,"pl. Słoneczna 411
72-314 Marki",18
723,723,723,Komisariat 724,"al. Świerczewskiego 70
60-982 Czechowice-Dziedzice",16
724,724,724,Komisariat 725,"aleja Lwowska 864
86-568 Starachowice",20
725,725,725,Komisariat 726,"pl. Turkusowa 032
80-425 Sanok",16
726,726,726,Komisariat 727,"ulica Dąbrowskiego 232
88-494 Będzin",22
727,727,727,Komisariat 728,"ulica Korfantego 68
14-414 Pruszcz Gdański",18
728,728,728,Komisariat 729,"pl. Sybiraków 85/19
46-524 Biała Podlaska",14
729,729,729,Komisariat 730,"ulica Rejtana 19
67-336 Tarnobrzeg",16
730,730,730,Komisariat 731,"aleja Przemysłowa 09
83-851 Luboń",14
731,731,731,Komisariat 732,"ulica Kasztanowa 252
09-801 Piła",29
732,732,732,Komisariat 733,"pl. Staffa 66/76
20-270 Brzeg",16
733,733,733,Komisariat 734,"aleja Górna 514
85-316 Mińsk Mazowiecki",26
734,734,734,Komisariat 735,"plac Kazimierza Wielkiego 13
40-842 Starogard Gdański",16
735,735,735,Komisariat 736,"ul. Powstańców Śląskich 09/79
01-643 Wejherowo",15
736,736,736,Komisariat 737,"ul. Zakątek 739
23-465 Olsztyn",18
737,737,737,Komisariat 738,"pl. Pomorska 876
55-924 Głogów",19
738,738,738,Komisariat 739,"al. Wolności 479
83-286 Ełk",18
739,739,739,Komisariat 740,"al. Władysława Łokietka 02
90-382 Tarnobrzeg",12
740,740,740,Komisariat 741,"aleja Ściegiennego 40
09-153 Żagań",24
741,741,741,Komisariat 742,"ul. Bolesława Krzywoustego 367
53-169 Elbląg",18
742,742,742,Komisariat 743,"pl. Przemysłowa 95
73-369 Ostrów Mazowiecka",17
743,743,743,Komisariat 744,"plac Stolarska 74
32-603 Rybnik",17
744,744,744,Komisariat 745,"ulica Krokusowa 464
19-274 Białystok",25
745,745,745,Komisariat 746,"ulica Krasińskiego 858
52-633 Giżycko",24
746,746,746,Komisariat 747,"pl. Armii Krajowej 07
12-672 Bielsk Podlaski",16
747,747,747,Komisariat 748,"plac Grabowa 887
60-360 Jastrzębie-Zdrój",25
748,748,748,Komisariat 749,"aleja Staszica 51/71
34-905 Słupsk",21
749,749,749,Komisariat 750,"pl. Matejki 373
67-477 Ruda Śląska",25
750,750,750,Komisariat 751,"al. Żeglarska 74
32-764 Warszawa",24
751,751,751,Komisariat 752,"aleja Prusa 14
78-892 Lębork",15
752,752,752,Komisariat 753,"al. Składowa 99
51-012 Sandomierz",27
753,753,753,Komisariat 754,"ulica Maczka 03
46-658 Zduńska Wola",26
754,754,754,Komisariat 755,"ul. Spacerowa 99
55-292 Olkusz",21
755,755,755,Komisariat 756,"aleja Bolesława Chrobrego 579
23-588 Nysa",29
756,756,756,Komisariat 757,"pl. Głogowa 94/47
84-060 Skierniewice",18
757,757,757,Komisariat 758,"ul. Bociania 898
65-754 Zabrze",19
758,758,758,Komisariat 759,"ulica Wiejska 226
11-874 Żory",16
759,759,759,Komisariat 760,"pl. Ludowa 18
18-681 Mława",15
760,760,760,Komisariat 761,"plac Ciasna 39
60-461 Dąbrowa Górnicza",8
761,761,761,Komisariat 762,"ul. Spółdzielcza 232
16-561 Ostrołęka",17
762,762,762,Komisariat 763,"al. Świerczewskiego 08/13
42-017 Siedlce",17
763,763,763,Komisariat 764,"pl. Ptasia 960
21-919 Zabrze",18
764,764,764,Komisariat 765,"al. Jabłoniowa 257
28-751 Bytom",28
765,765,765,Komisariat 766,"pl. Morska 58/65
21-949 Cieszyn",15
766,766,766,Komisariat 767,"ulica Głowackiego 27
09-451 Wodzisław Śląski",16
767,767,767,Komisariat 768,"ulica Zbożowa 28/20
01-154 Warszawa",27
768,768,768,Komisariat 769,"pl. Mieszka I 096
03-116 Siemianowice Śląskie",18
769,769,769,Komisariat 770,"pl. Zakole 157
88-838 Czechowice-Dziedzice",16
770,770,770,Komisariat 771,"ul. Zakole 86/32
58-206 Gorzów Wielkopolski",22
771,771,771,Komisariat 772,"al. Poziomkowa 579
82-300 Kłodzko",20
772,772,772,Komisariat 773,"pl. Kraszewskiego 56
95-229 Płock",19
773,773,773,Komisariat 774,"al. Zwycięstwa 85
49-492 Szczytno",18
774,774,774,Komisariat 775,"aleja Borówkowa 199
91-195 Legnica",22
775,775,775,Komisariat 776,"ul. Podgórna 341
59-218 Suwałki",28
776,776,776,Komisariat 777,"al. Opolska 795
36-547 Kościan",14
777,777,777,Komisariat 778,"ulica Konopnickiej 15/71
64-017 Wejherowo",14
778,778,778,Komisariat 779,"plac Kalinowa 34
68-215 Nowa Ruda",21
779,779,779,Komisariat 780,"aleja Krasińskiego 20
65-390 Gniezno",22
780,780,780,Komisariat 781,"pl. Warszawska 01/70
85-274 Chojnice",11
781,781,781,Komisariat 782,"ul. Jagodowa 276
03-322 Goleniów",26
782,782,782,Komisariat 783,"aleja Kossaka 93/53
97-188 Mysłowice",17
783,783,783,Komisariat 784,"ul. Krańcowa 79/91
82-193 Inowrocław",23
784,784,784,Komisariat 785,"plac Korczaka 00
06-367 Ostrołęka",13
785,785,785,Komisariat 786,"pl. Rumiankowa 156
54-693 Słupsk",16
786,786,786,Komisariat 787,"plac Baczynskiego 93
51-783 Pabianice",23
787,787,787,Komisariat 788,"pl. Turkusowa 74/13
45-178 Piotrków Trybunalski",28
788,788,788,Komisariat 789,"pl. Jadwigi 52/90
79-808 Sieradz",19
789,789,789,Komisariat 790,"aleja Sarnia 08/55
98-621 Siemianowice Śląskie",19
790,790,790,Komisariat 791,"aleja Wiązowa 166
28-412 Zamość",21
791,791,791,Komisariat 792,"pl. Perłowa 14/23
07-837 Augustów",23
792,792,792,Komisariat 793,"aleja Chabrowa 16/35
50-653 Głogów",20
793,793,793,Komisariat 794,"al. Żeglarska 246
95-931 Gorzów Wielkopolski",24
794,794,794,Komisariat 795,"ulica Bankowa 77
07-612 Środa Wielkopolska",24
795,795,795,Komisariat 796,"al. Wyzwolenia 50/62
61-492 Szczytno",22
796,796,796,Komisariat 797,"ulica Wolności 271
10-404 Biała Podlaska",20
797,797,797,Komisariat 798,"plac Kasprowicza 745
38-457 Oświęcim",19
798,798,798,Komisariat 799,"al. Liliowa 09/06
52-625 Kielce",26
799,799,799,Komisariat 800,"pl. Miarki 38/30
05-941 Kraśnik",17
800,800,800,Komisariat 801,"ul. Wiśniowa 09
96-331 Oświęcim",22
801,801,801,Komisariat 802,"pl. Żabia 399
38-112 Koszalin",16
802,802,802,Komisariat 803,"ulica Starowiejska 84/34
10-984 Kielce",20
803,803,803,Komisariat 804,"al. Dworska 22/20
88-036 Rybnik",25
804,804,804,Komisariat 805,"ul. Chabrowa 96
99-312 Wieluń",23
805,805,805,Komisariat 806,"aleja Ogrodowa 155
81-164 Ciechanów",25
806,806,806,Komisariat 807,"pl. Floriana 09/38
96-415 Dębica",20
807,807,807,Komisariat 808,"al. Torowa 44/06
80-150 Radomsko",15
808,808,808,Komisariat 809,"al. Osiedlowa 90/36
59-505 Kędzierzyn-Koźle",18
809,809,809,Komisariat 810,"ul. Jadwigi 75
54-947 Oleśnica",18
810,810,810,Komisariat 811,"al. Wolności 89
97-077 Lublin",19
811,811,811,Komisariat 812,"aleja Okrzei 836
95-556 Bytom",19
812,812,812,Komisariat 813,"ulica Glówna 57/23
96-722 Iława",21
813,813,813,Komisariat 814,"ulica Rajska 077
36-887 Radomsko",27
814,814,814,Komisariat 815,"ul. Władysława Łokietka 54
10-174 Wodzisław Śląski",15
815,815,815,Komisariat 816,"ulica Narcyzowa 63
41-151 Opole",22
816,816,816,Komisariat 817,"ulica Krańcowa 97
29-897 Świdnica",20
817,817,817,Komisariat 818,"pl. Swierkowa 224
37-013 Przemyśl",19
818,818,818,Komisariat 819,"plac Tartaczna 125
02-461 Nysa",21
819,819,819,Komisariat 820,"al. Piękna 67/22
73-819 Pabianice",14
820,820,820,Komisariat 821,"aleja Szeroka 515
59-089 Zabrze",18
821,821,821,Komisariat 822,"plac Zakątek 038
43-226 Ciechanów",18
822,822,822,Komisariat 823,"ulica Tuwima 43
33-363 Zabrze",26
823,823,823,Komisariat 824,"ulica Tęczowa 38
82-440 Sieradz",24
824,824,824,Komisariat 825,"aleja Stycznia 45/66
28-803 Łódź",12
825,825,825,Komisariat 826,"pl. Zamkowa 95
86-379 Wrocław",16
826,826,826,Komisariat 827,"pl. Opolska 42/32
31-124 Tarnów",18
827,827,827,Komisariat 828,"plac Wiejska 45/31
87-025 Warszawa",20
828,828,828,Komisariat 829,"ulica Konwaliowa 155
40-550 Września",22
829,829,829,Komisariat 830,"ulica Żabia 27/60
67-106 Jaworzno",20
830,830,830,Komisariat 831,"pl. Kossaka 90/79
91-880 Tomaszów Mazowiecki",27
831,831,831,Komisariat 832,"ulica Konopnickiej 92/39
62-358 Reda",26
832,832,832,Komisariat 833,"ul. Magnoliowa 842
18-882 Grodzisk Mazowiecki",21
833,833,833,Komisariat 834,"al. Traugutta 987
75-320 Mława",32
834,834,834,Komisariat 835,"aleja Strażacka 677
22-523 Kluczbork",17
835,835,835,Komisariat 836,"plac Warszawska 57/87
03-180 Cieszyn",25
836,836,836,Komisariat 837,"pl. Rózana 109
80-463 Łowicz",24
837,837,837,Komisariat 838,"ul. Nadbrzeżna 49/50
52-963 Ostrowiec Świętokrzyski",32
838,838,838,Komisariat 839,"al. Nadbrzeżna 96/67
77-589 Konin",18
839,839,839,Komisariat 840,"plac Zacisze 74/59
04-387 Żyrardów",13
840,840,840,Komisariat 841,"ulica Urocza 53
86-520 Kłodzko",23
841,841,841,Komisariat 842,"ulica Wróblewskiego 31/51
59-110 Kędzierzyn-Koźle",24
842,842,842,Komisariat 843,"plac Grabowa 67
48-728 Siedlce",21
843,843,843,Komisariat 844,"ulica Rycerska 29/19
63-866 Opole",17
844,844,844,Komisariat 845,"aleja Żurawia 354
84-867 Świecie",19
845,845,845,Komisariat 846,"pl. Starowiejska 87
54-066 Zambrów",19
846,846,846,Komisariat 847,"aleja Staffa 36
80-074 Szczytno",31
847,847,847,Komisariat 848,"ul. Parkowa 361
21-136 Kutno",18
848,848,848,Komisariat 849,"pl. Diamentowa 19/73
09-827 Marki",15
849,849,849,Komisariat 850,"ul. Ludowa 72/11
88-805 Lublin",20
850,850,850,Komisariat 851,"plac Kielecka 40
93-985 Olkusz",25
851,851,851,Komisariat 852,"al. Konopnickiej 12/43
98-001 Skierniewice",15
852,852,852,Komisariat 853,"ul. Kaliska 663
48-265 Ciechanów",24
853,853,853,Komisariat 854,"ulica Kwiatowa 01/24
40-488 Sochaczew",23
854,854,854,Komisariat 855,"al. Orla 07/24
96-899 Zabrze",15
855,855,855,Komisariat 856,"pl. Lazurowa 49
91-163 Przemyśl",24
856,856,856,Komisariat 857,"pl. Widok 38/68
36-750 Augustów",22
857,857,857,Komisariat 858,"al. Krakowska 32/52
22-872 Dąbrowa Górnicza",23
858,858,858,Komisariat 859,"ulica Okrzei 655
96-013 Konin",19
859,859,859,Komisariat 860,"ulica Okrzei 40/19
93-293 Cieszyn",19
860,860,860,Komisariat 861,"ulica Czarnieckiego 530
21-918 Brodnica",20
861,861,861,Komisariat 862,"pl. Rajska 07
62-841 Olsztyn",21
862,862,862,Komisariat 863,"pl. Wolności 98/29
06-252 Sopot",13
863,863,863,Komisariat 864,"aleja Tylna 190
32-401 Tychy",26
864,864,864,Komisariat 865,"ul. Wierzbowa 902
33-787 Białystok",20
865,865,865,Komisariat 866,"al. Reja 075
89-001 Białogard",24
866,866,866,Komisariat 867,"al. Wiązowa 74
79-888 Koło",17
867,867,867,Komisariat 868,"pl. Wodna 76
84-841 Rybnik",25
868,868,868,Komisariat 869,"plac Gdańska 92
52-566 Żary",27
869,869,869,Komisariat 870,"aleja Rajska 96/13
70-051 Ząbki",29
870,870,870,Komisariat 871,"ul. Hutnicza 38/63
48-768 Leszno",19
871,871,871,Komisariat 872,"ul. Miodowa 319
65-263 Zabrze",27
872,872,872,Komisariat 873,"pl. Pocztowa 95/64
13-273 Kraków",22
873,873,873,Komisariat 874,"ulica Prusa 007
25-384 Czeladź",21
874,874,874,Komisariat 875,"ul. Maczka 08
29-060 Łuków",16
875,875,875,Komisariat 876,"ul. Jadwigi 75/34
73-866 Malbork",17
876,876,876,Komisariat 877,"ulica Orzechowa 65/00
12-672 Mysłowice",15
877,877,877,Komisariat 878,"plac Pomorska 84
92-697 Sieradz",16
878,878,878,Komisariat 879,"ul. Tuwima 116
16-945 Ostrołęka",25
879,879,879,Komisariat 880,"ulica Dworcowa 17
30-065 Kluczbork",21
880,880,880,Komisariat 881,"ulica Konarskiego 38
26-883 Kościerzyna",14
881,881,881,Komisariat 882,"ul. Zakątek 99
39-647 Świebodzice",25
882,882,882,Komisariat 883,"ul. Traugutta 52/56
27-503 Łuków",29
883,883,883,Komisariat 884,"ulica Sowia 751
87-966 Wałbrzych",20
884,884,884,Komisariat 885,"ul. Miłosza 148
93-660 Bochnia",20
885,885,885,Komisariat 886,"al. Morcinka 510
88-234 Rumia",25
886,886,886,Komisariat 887,"ul. Orkana 745
61-669 Ostrowiec Świętokrzyski",14
887,887,887,Komisariat 888,"pl. Mała 38
34-822 Oława",23
888,888,888,Komisariat 889,"ul. Ludowa 76
61-553 Zgorzelec",8
889,889,889,Komisariat 890,"al. Skośna 305
88-087 Wyszków",13
890,890,890,Komisariat 891,"aleja Letnia 89
57-751 Jawor",19
891,891,891,Komisariat 892,"ul. Chełmońskiego 74/59
47-611 Zawiercie",11
892,892,892,Komisariat 893,"al. Wodna 82
65-457 Rumia",17
893,893,893,Komisariat 894,"ul. Leszczynowa 28
77-001 Ostróda",28
894,894,894,Komisariat 895,"al. Pomorska 16/62
06-275 Kielce",19
895,895,895,Komisariat 896,"ul. Wodna 06
52-019 Elbląg",27
896,896,896,Komisariat 897,"ul. Żeromskiego 417
55-833 Piekary Śląskie",24
897,897,897,Komisariat 898,"plac Żabia 56
94-515 Myszków",17
898,898,898,Komisariat 899,"ul. Sawickiej 85/02
17-131 Stargard Szczeciński",14
899,899,899,Komisariat 900,"ulica Liliowa 40/94
23-820 Wrocław",24
900,900,900,Komisariat 901,"aleja Towarowa 447
27-678 Zgorzelec",17
901,901,901,Komisariat 902,"ul. Topolowa 654
84-218 Wieluń",14
902,902,902,Komisariat 903,"pl. Żabia 079
59-970 Piastów",19
903,903,903,Komisariat 904,"aleja Kołłątaja 98/30
36-249 Czechowice-Dziedzice",13
904,904,904,Komisariat 905,"aleja Zdrojowa 24/46
76-140 Wrocław",25
905,905,905,Komisariat 906,"aleja Swierkowa 69/73
99-881 Ełk",18
906,906,906,Komisariat 907,"pl. Targowa 48/38
74-349 Białystok",17
907,907,907,Komisariat 908,"pl. Witosa 637
68-861 Racibórz",20
908,908,908,Komisariat 909,"pl. Kamienna 50/64
53-075 Czechowice-Dziedzice",19
909,909,909,Komisariat 910,"al. Jabłoniowa 14/37
12-894 Łaziska Górne",26
910,910,910,Komisariat 911,"ul. Mieszka I 401
15-419 Zgorzelec",13
911,911,911,Komisariat 912,"ulica Andersa 01/34
64-543 Ostrów Mazowiecka",25
912,912,912,Komisariat 913,"plac Turystyczna 64
46-998 Nowy Targ",19
913,913,913,Komisariat 914,"pl. Jaskółcza 98
15-040 Brzeg",26
914,914,914,Komisariat 915,"pl. Skłodowskiej-Curie 09/68
18-729 Bydgoszcz",17
915,915,915,Komisariat 916,"ul. Okrzei 97/27
62-581 Wołomin",24
916,916,916,Komisariat 917,"al. Bema 867
33-895 Kraków",18
917,917,917,Komisariat 918,"ulica Narcyzowa 91
34-870 Lubin",20
918,918,918,Komisariat 919,"aleja Daszyńskiego 70/95
40-824 Kętrzyn",22
919,919,919,Komisariat 920,"plac Szymanowskiego 35/38
44-314 Krosno",17
920,920,920,Komisariat 921,"al. Bolesława Krzywoustego 58
75-651 Kluczbork",19
921,921,921,Komisariat 922,"ulica Fiołkowa 845
01-826 Ruda Śląska",22
922,922,922,Komisariat 923,"pl. Nałkowskiej 69/09
61-236 Środa Wielkopolska",20
923,923,923,Komisariat 924,"ul. Andersa 92
40-760 Białystok",20
924,924,924,Komisariat 925,"aleja Stroma 24/81
22-160 Włocławek",26
925,925,925,Komisariat 926,"al. Cegielniana 40/64
79-992 Brzeg",22
926,926,926,Komisariat 927,"ulica Kreta 53
69-406 Świecie",27
927,927,927,Komisariat 928,"ulica Szymanowskiego 58
09-424 Łowicz",26
928,928,928,Komisariat 929,"al. Szkolna 10
80-948 Kalisz",23
929,929,929,Komisariat 930,"plac Słowackiego 084
44-962 Żory",23
930,930,930,Komisariat 931,"pl. Sowia 792
72-769 Płońsk",22
931,931,931,Komisariat 932,"pl. Chmielna 73
94-901 Ostróda",18
932,932,932,Komisariat 933,"ulica Głogowa 63/05
35-053 Lubliniec",17
933,933,933,Komisariat 934,"ul. Zacisze 475
95-625 Giżycko",20
934,934,934,Komisariat 935,"ul. Wypoczynkowa 65
13-088 Biała Podlaska",26
935,935,935,Komisariat 936,"ul. Poniatowskiego 34/38
39-348 Grudziądz",19
936,936,936,Komisariat 937,"plac Wieniawskiego 25
44-900 Swarzędz",21
937,937,937,Komisariat 938,"plac Łabędzia 405
17-348 Bielsk Podlaski",17
938,938,938,Komisariat 939,"pl. Powstańców 26
63-679 Płock",21
939,939,939,Komisariat 940,"aleja Kalinowa 91
31-144 Świdnica",20
940,940,940,Komisariat 941,"pl. Szczęśliwa 90/88
72-734 Koło",25
941,941,941,Komisariat 942,"al. Piastowska 92
97-758 Środa Wielkopolska",14
942,942,942,Komisariat 943,"al. Wiejska 623
42-487 Jawor",18
943,943,943,Komisariat 944,"aleja Morska 81
76-911 Siemianowice Śląskie",26
944,944,944,Komisariat 945,"al. Korfantego 62/62
75-008 Kraśnik",17
945,945,945,Komisariat 946,"al. Kaszubska 90
44-515 Świnoujście",20
946,946,946,Komisariat 947,"ulica Olchowa 68/79
69-591 Pruszków",24
947,947,947,Komisariat 948,"ul. Brzoskwiniowa 77
36-028 Nowy Sącz",18
948,948,948,Komisariat 949,"pl. Lipowa 21/64
44-658 Piekary Śląskie",16
949,949,949,Komisariat 950,"aleja Partyzantów 88
34-521 Łódź",28
950,950,950,Komisariat 951,"pl. Kaliska 55
44-626 Sandomierz",14
951,951,951,Komisariat 952,"plac Maja 61
13-159 Bielsk Podlaski",28
952,952,952,Komisariat 953,"aleja Poprzeczna 17/87
55-471 Nowa Ruda",23
953,953,953,Komisariat 954,"ulica Daszyńskiego 615
39-394 Inowrocław",23
954,954,954,Komisariat 955,"pl. Młyńska 38/60
91-690 Przemyśl",18
955,955,955,Komisariat 956,"ulica Kilińskiego 90/14
21-758 Rumia",24
956,956,956,Komisariat 957,"pl. Konstytucji 3 Maja 00
05-920 Ostrowiec Świętokrzyski",22
957,957,957,Komisariat 958,"pl. Jaworowa 858
30-996 Krotoszyn",16
958,958,958,Komisariat 959,"pl. Narcyzowa 58/59
42-415 Łódź",22
959,959,959,Komisariat 960,"ul. Stolarska 10
08-824 Wejherowo",19
960,960,960,Komisariat 961,"plac Wczasowa 305
24-543 Piła",21
961,961,961,Komisariat 962,"pl. Narutowicza 42
09-142 Kraśnik",21
962,962,962,Komisariat 963,"ul. Harcerska 76
72-644 Suwałki",21
963,963,963,Komisariat 964,"ulica Leszczynowa 397
58-931 Piotrków Trybunalski",21
964,964,964,Komisariat 965,"aleja Skośna 849
07-668 Kłodzko",17
965,965,965,Komisariat 966,"al. Robotnicza 12/08
81-282 Bielsk Podlaski",23
966,966,966,Komisariat 967,"pl. Wieniawskiego 26/00
49-716 Lębork",18
967,967,967,Komisariat 968,"ul. Srebrna 368
45-991 Oświęcim",21
968,968,968,Komisariat 969,"al. Irysowa 82
01-238 Bełchatów",19
969,969,969,Komisariat 970,"ulica Tysiąclecia 04
96-029 Szczecinek",22
970,970,970,Komisariat 971,"al. Stycznia 93
41-825 Mikołów",12
971,971,971,Komisariat 972,"al. Cedrowa 82/14
77-130 Leszno",24
972,972,972,Komisariat 973,"pl. Cicha 22
86-220 Lublin",19
973,973,973,Komisariat 974,"ulica Dąbrowskiej 75
46-704 Sosnowiec",23
974,974,974,Komisariat 975,"ul. Zakole 97/62
09-871 Grudziądz",24
975,975,975,Komisariat 976,"al. Willowa 49
41-044 Racibórz",12
976,976,976,Komisariat 977,"pl. Turystyczna 750
58-439 Łaziska Górne",16
977,977,977,Komisariat 978,"ul. Zielona 81
95-713 Marki",11
978,978,978,Komisariat 979,"al. Morelowa 916
32-262 Piotrków Trybunalski",19
979,979,979,Komisariat 980,"al. Kaliska 905
56-498 Inowrocław",25
980,980,980,Komisariat 981,"pl. Mazurska 89/07
80-055 Wrocław",17
981,981,981,Komisariat 982,"plac Złota 43
94-041 Piaseczno",22
982,982,982,Komisariat 983,"pl. Jastrzębia 69/77
64-132 Nysa",20
983,983,983,Komisariat 984,"plac Odrzańska 949
81-513 Białogard",18
984,984,984,Komisariat 985,"al. Jana Sobieskiego 03/71
62-822 Nowy Sącz",21
985,985,985,Komisariat 986,"plac Zakole 95
65-997 Suwałki",17
986,986,986,Komisariat 987,"ulica Spacerowa 896
53-924 Radomsko",16
987,987,987,Komisariat 988,"ulica Tysiąclecia 51/35
97-207 Kielce",28
988,988,988,Komisariat 989,"plac Zielna 179
33-529 Czerwionka-Leszczyny",17
989,989,989,Komisariat 990,"al. Sikorskiego 525
59-302 Goleniów",9
990,990,990,Komisariat 991,"ulica Jasna 361
98-268 Sosnowiec",23
991,991,991,Komisariat 992,"pl. Bema 452
63-425 Ełk",19
992,992,992,Komisariat 993,"pl. Bydgoska 64
66-991 Piotrków Trybunalski",24
993,993,993,Komisariat 994,"ulica Spokojna 745
97-048 Kluczbork",11
994,994,994,Komisariat 995,"ul. Staszica 51/83
04-091 Łódź",13
995,995,995,Komisariat 996,"al. Kołłątaja 31/53
78-997 Polkowice",16
996,996,996,Komisariat 997,"aleja Powstańców Wielkopolskich 21
48-004 Jaworzno",14
997,997,997,Komisariat 998,"ulica Szmaragdowa 225
18-325 Mielec",28
998,998,998,Komisariat 999,"plac Wiślana 05
34-936 Gorzów Wielkopolski",18
999,999,999,Komisariat 1000,"ul. Lubelska 08
36-578 Swarzędz",13
1000,1000,1000,Komisariat 1001,"ulica Cicha 386
77-900 Toruń",19
1001,1001,1001,Komisariat 1002,"ulica Zapolskiej 45
48-067 Kościerzyna",18
1002,1002,1002,Komisariat 1003,"al. Spółdzielcza 12
40-115 Suwałki",21
1003,1003,1003,Komisariat 1004,"pl. Starowiejska 453
86-966 Kościan",20
1004,1004,1004,Komisariat 1005,"ulica Powstańców Śląskich 733
99-667 Starogard Gdański",18
1005,1005,1005,Komisariat 1006,"ul. Listopada 70/78
01-183 Kraśnik",17
