ID,Nazwa,Numer_seryjny,Rodzaj
5268,Kamizelka kuloodporna,WKGFJMY684GAMFFD0,inne
5269,Terminal Bluebird,NSE388FH5S8LBYAVJ,srodki_lacznosci
5270,Kia Ceed III,P9FEH70D13520WGUT,pojazd
5271,Glock 17,EST8CZRH9NGT2FSPZ,bron
5272,Beretta APX,1GY49SS47K0FZLUFR,bron
5273,Terminal Bluebird,HK8KDF2N3DU7M3MEV,srodki_lacznosci
5274,Radiostacja nasobna,0A1LXHP23GS1FBS1N,srodki_lacznosci
5275,Alkomat AlcoQuant 6020,8DCE0UFT9MCHSZC8Z,inne
5276,Alkomat AlcoQuant 6020,4T9KBN7C4SGFMHXJ8,inne
5277,Volkswagen Crafter,J4EESXPP6KN67MHP8,pojazd
5278,Terminal Bluebird,X1C4L6BG9JUCHHM5M,srodki_lacznosci
5279,Kamizelka kuloodporna,09NXBFSH1H3E9TFX1,inne
5280,Apteczka taktyczna,9EVMPP3T9A3EPPDS9,inne
5281,Latarka taktyczna,LP0EJUG9XZU6PCGY6,inne
5282,Kajdanki,H26MGV9WXCJPBY8K5,inne
5283,Terminal Bluebird,49GRRLR15XLGX0CN9,srodki_lacznosci
5284,Terminal Bluebird,VE9X308Z0D3VLK28G,srodki_lacznosci
5285,Kia Ceed III,HX13SSAUXJY93GN43,pojazd
5286,Volkswagen Transporter,HXG1MM3932TW36KL5,pojazd
5287,Skoda Superb,9VZYDL7L628Z27GJU,pojazd
5288,Toyota Corolla,KKGBPJ6C3YVW28L9V,pojazd
5289,Volkswagen Transporter,NRLGF3ML3YHK5A9MY,pojazd
5290,Terminal Bluebird,H6CBVSH000Y7PG617,srodki_lacznosci
5291,Radiostacja nasobna,S6X4BBLG8EUB78KZD,srodki_lacznosci
5292,Apteczka taktyczna,8363JFHUX3RTPDL1T,inne
5293,Sako TRG-21,KNWXEWBK66062EJPH,bron
5294,H&K MP5A3,EZRTV4Y114FM0WTS9,bron
5295,Kamizelka kuloodporna,RTYR79EY94Y8ZJZ6G,inne
5296,Alkomat AlcoQuant 6020,ZYMEHS4YXEXWXTRWP,inne
5297,HK UMP,X21RY69X1XM1WUV8J,bron
5298,Kajdanki,A298JNAS0BZZD65P1,inne
5299,Radiostacja nasobna,Y5VE718V19N9KJ3WP,srodki_lacznosci
5300,H&K MP5A3,TFLJDJN77BB874A95,bron
5301,Kajdanki,GSEB8HH37E6Y21N90,inne
5302,Radiostacja nasobna,FJAW7EV246MAN2RCX,srodki_lacznosci
5303,H&K G36,FK9K9HPJ901ETB18D,bron
5304,Walther P99,G6NTFSVZ3VP84M8LY,bron
5305,Glauberyt PM-98,MSNT5N8F1XJTWD4B7,bron
5306,Latarka taktyczna,DVUCWP1A6MG5N6MGS,inne
5307,Radiostacja nasobna,JE7X9M316UXF37CHL,srodki_lacznosci
5308,Terminal Bluebird,L85G0CJE97M0G6WH3,srodki_lacznosci
5309,Kamizelka kuloodporna,1C91P4J354RFD3HPE,inne
5310,Glauberyt PM-98,8JTRH5PN1BC1SBV82,bron
5311,Latarka taktyczna,FWVKEBDG1BF531A7X,inne
5312,Beretta APX,ZJP2CLSA7DBM9NSZN,bron
5313,Apteczka taktyczna,ERY61R8375R2PJ2HF,inne
5314,Opel Crossland X,8M1XLB7L90BYJ78N3,pojazd
5315,Radiostacja nasobna,1MAGLCK046Z3FKJX7,srodki_lacznosci
5316,Alkomat AlcoQuant 6020,TDJYZG5G3AWSRS169,inne
5317,Radiostacja nasobna,C23F4XTG0YNCFJEW9,srodki_lacznosci
5318,H&K MP5A3,ZL5XB3SC8FL2KRH8W,bron
5319,Terminal Bluebird,58XVR1N232LMJP1V2,srodki_lacznosci
5320,Radiostacja nasobna,J96T16LVX4BS2VLMA,srodki_lacznosci
5321,Latarka taktyczna,LL3ZKHYK67SLLUN4W,inne
5322,Hyundai Tucson,ZAVY43XR80JF98SH8,pojazd
5323,Latarka taktyczna,R6BZ929E1BYYDSFHL,inne
5324,Alkomat AlcoQuant 6020,91MPS9SS05653LSEB,inne
5325,BMW serii 3,XR955UNA6BJFKCEXH,pojazd
5326,Terminal Bluebird,2RDDG7JZ76DVJR18Y,srodki_lacznosci
5327,Terminal Bluebird,G2D4ZX639BXKYL95W,srodki_lacznosci
5328,Radiostacja nasobna,SWWATT2D79ZPL1D9K,srodki_lacznosci
5329,Radiostacja nasobna,4GT1AJAV6TNZAKN60,srodki_lacznosci
5330,Apteczka taktyczna,L3V1GEYH223BNFKZT,inne
5331,HK UMP,FXCJ7VDN8LK77XKPZ,bron
5332,Radiostacja nasobna,BJ1UXKJ325JPYZXUK,srodki_lacznosci
5333,Radiostacja nasobna,PJ2L25P6XZLN8326F,srodki_lacznosci
5334,Tonfa,X7W765HAXBKE883YH,bron
5335,Volkswagen Crafter,07U57T204MJCCPKLY,pojazd
5336,Radiostacja nasobna,6DWKDDFPXRDJCHK98,srodki_lacznosci
5337,Terminal Bluebird,LEZGT8TZ96PYXG0CH,srodki_lacznosci
5338,Kamizelka kuloodporna,KJLDMB8K96UUD5W6B,inne
5339,Glock 17,XUE6KZD5X4TNP9GWR,bron
5340,HK UMP,GPSBSC4K37TBMRNP8,bron
5341,Kia Ceed III,9TY3EWS35YHNF12BJ,pojazd
5342,H&K MP5A3,571GKN418E3XN7CEF,bron
5343,Tonfa,00TF256X042ADBLXZ,bron
5344,Terminal Bluebird,LB41F0DL5251WSGBT,srodki_lacznosci
5345,Sako TRG-21,2RT1M24Z0HTPY84FL,bron
5346,Sako TRG-21,V9BUG7MMXL27FHTLZ,bron
5347,Skoda Superb,L2YN2E3R8RY1H5GEY,pojazd
5348,Radiostacja nasobna,K71NYZ640CPT6RHUB,srodki_lacznosci
5349,Kia Ceed III,WT1S0TJZX0WZW2WLU,pojazd
5350,H&K G36,RH05194L11SYB88WG,bron
5351,Alkomat AlcoQuant 6020,6VHBHVT49GS7CM93B,inne
5352,Alkomat AlcoQuant 6020,786LYV668W40KXWAC,inne
5353,Glock 19,THT4XYNEX40P0MNAK,bron
5354,Terminal Bluebird,NR6XLG6F3U9R37DBC,srodki_lacznosci
5355,H&K G36,N79NSSHR177FGV2C9,bron
5356,BMW serii 3,8584VRVR5W4VDM18S,pojazd
5357,Latarka taktyczna,ZUGW1FP340SXRXZMB,inne
5358,Terminal Bluebird,55MY6H4R1GXGL3RXU,srodki_lacznosci
5359,Kamizelka kuloodporna,JNF1V4ULXCZZF48AN,inne
5360,Glauberyt PM-98,AZNV97M509080C8ZV,bron
5361,Kia Ceed III,W27L70YN0PPDR1D0H,pojazd
5362,Radiostacja nasobna,2DF559JE57X0L7JYM,srodki_lacznosci
5363,Tonfa,WLCTKA5492HJPWVP9,bron
5364,Radiostacja nasobna,TSMSARF11S1JXLABR,srodki_lacznosci
5365,Walther P99,6T2RKEP11MLLBPS93,bron
5366,Latarka taktyczna,9Z32SK748D0F60U98,inne
5367,Terminal Bluebird,3L73HPP13DZLZ68LV,srodki_lacznosci
5368,Radiostacja nasobna,UDY6KM475LHR1JCBB,srodki_lacznosci
5369,H&K MP5A3,S9HPXJEE50GXM1SMY,bron
5370,BMW serii 3,V7C4E7VF953RRESX2,pojazd
5371,Glock 19,EDEG21W30FJ38F9KR,bron
5372,Tonfa,E7NJSY1C049H9TT9J,bron
5373,Radiostacja nasobna,60CGGNVW7N3483VFA,srodki_lacznosci
5374,Glauberyt PM-98,NWZPJK4P5VT3U6JC9,bron
5375,Volkswagen Crafter,WYF9EWPT3F6CCMK91,pojazd
5376,Sako TRG-21,7ZHG6TXL99YUJ1RTZ,bron
5377,Skoda Superb,ARZNK0F84K4N1WMD6,pojazd
5378,Toyota Corolla,GXSSYN9KX22MHGDDN,pojazd
5379,Urzadzenie do detekcji narkotykow AlereTM DDS 2,09XK3KKT84M6W0YCT,inne
5380,Urzadzenie do detekcji narkotykow AlereTM DDS 2,626UGKXT3PWFKDX3X,inne
5381,Glock 19,EJ9P2P6DX6XH063BD,bron
5382,Terminal Bluebird,R8D6KF20XG99WB199,srodki_lacznosci
5383,Toyota Corolla,LCEAKL45933RTVS8L,pojazd
5384,Sako TRG-21,YT0AU00W367WRAMN1,bron
5385,Kia Ceed III,MWBT7NY2425CY6FEA,pojazd
5386,Latarka taktyczna,AU4L94GL5KJ73AGRB,inne
5387,Urzadzenie do detekcji narkotykow AlereTM DDS 2,0CNW4DHH9B8Z1CHTB,inne
5388,Glock 19,ULTL32R016ZLLKHKZ,bron
5389,Skoda Superb,TWB3L4BY3L05GVA1R,pojazd
5390,Skoda Superb,3RS3KCH04DYA6F18D,pojazd
5391,Tonfa,6U5MRE979YV3PXD77,bron
5392,Radiostacja nasobna,100NAJ5S1SJBGC2TB,srodki_lacznosci
5393,Terminal Bluebird,8HLBL42VXHG4JJ631,srodki_lacznosci
5394,Latarka taktyczna,20S09VU99CN9UGDT7,inne
5395,Opel Crossland X,P0BTPGBX3UJ22GX73,pojazd
5396,Opel Crossland X,SUCSTGT937K570RLM,pojazd
5397,Terminal Bluebird,68XRWWW21CV7A5NSP,srodki_lacznosci
5398,Volkswagen Crafter,KGWLDCWM9ZDFB8JHE,pojazd
5399,H&K G36,5WY6GD6A1TD9Z3C5F,bron
5400,Volkswagen Crafter,JVBJYNUT23KX0Y5Z4,pojazd
5401,Glauberyt PM-98,YVXZEW7E2EWEV498B,bron
5402,Alkomat AlcoQuant 6020,NGJGX5364R6KHL2MF,inne
5403,Alkomat AlcoQuant 6020,PZ308CMD2KF9AXAVY,inne
5404,Toyota Corolla,HPU71RHK9K8NWZV0X,pojazd
5405,Alkomat AlcoQuant 6020,89R2XGEE1L1U404S5,inne
5406,Radiostacja nasobna,DPEGF4T80L1Y4GURF,srodki_lacznosci
5407,Terminal Bluebird,KGD4P2YA3XDNS5UA0,srodki_lacznosci
5408,Walther P99,9A3NP0B76DW08L70X,bron
5409,Kamizelka kuloodporna,FEB6T0F38UVNVL72A,inne
5410,Tonfa,PV75J2NZ2M0D3ZM2P,bron
5411,Tonfa,UA3GERX910DK4C5VW,bron
5412,Kia Ceed III,135TS29159FZ9TJ9B,pojazd
5413,HK UMP,WUZYNDK97HUGNMD9B,bron
5414,Terminal Bluebird,AZZ0JB1DXD2E6AKS5,srodki_lacznosci
5415,Apteczka taktyczna,MD8PZ5PC85X3WV4VR,inne
5416,Radiostacja nasobna,R2A0VRZD4R00KRWA8,srodki_lacznosci
5417,Walther P99,NDYWG7VF6ZHYS5B6Y,bron
5418,Terminal Bluebird,1CCBWTM27RB00DSYB,srodki_lacznosci
5419,Radiostacja nasobna,AG78X84X1JMCVM5HH,srodki_lacznosci
5420,Terminal Bluebird,VFVLXFZP2RH4TZUDY,srodki_lacznosci
5421,Sako TRG-21,RU8PUMDJ9EHG835P1,bron
5422,Volkswagen Transporter,WYYNFLW67876UVDGU,pojazd
5423,Hyundai Tucson,NH03W9GN8S1Y42P6H,pojazd
5424,Radiostacja nasobna,CWAVC7CL4H4CW1J6J,srodki_lacznosci
5425,Kajdanki,Z5M2W1TD17NYTXN3U,inne
5426,Volkswagen Transporter,1U3R7WC12F1P4W2BX,pojazd
5427,Radiostacja nasobna,6W8RSAPA8UFUGESBS,srodki_lacznosci
5428,Radiostacja nasobna,B1TWD1H05GZEMBYTC,srodki_lacznosci
5429,Sako TRG-21,N9FVE8UC0BPZR8SWX,bron
5430,Terminal Bluebird,FZBJ480P615MC80DC,srodki_lacznosci
5431,Kia Ceed III,23JWCP7M5PKZ8HADC,pojazd
5432,Tonfa,FS56G5NU9C39TEUFV,bron
5433,Apteczka taktyczna,A7C2PNXW7FYHRJ5VE,inne
5434,Kajdanki,C2DS6VEW9J5PN51E4,inne
5435,Glock 17,WVA1S0VA81UTKE7G1,bron
5436,H&K G36,5PYF15471TJZ5SUTX,bron
5437,Glauberyt PM-98,7ZEBNGRF4EN43ABGW,bron
5438,Volkswagen Crafter,AHP4HMJJ9KLNUFUR8,pojazd
5439,Radiostacja nasobna,0Y12N8EH44WBG6KXC,srodki_lacznosci
5440,Volkswagen Crafter,7JT6GF6J7WBVRZZJG,pojazd
5441,Apteczka taktyczna,AVNTUA623TCMNJJFX,inne
5442,Volkswagen Crafter,42VW36994JW05XRJ3,pojazd
5443,Alkomat AlcoQuant 6020,2RHZC7BL0VZZR0LNC,inne
5444,Alkomat AlcoQuant 6020,ZU2TVW6DXMM8KT445,inne
5445,Terminal Bluebird,119PKT4G7PZJRKPKU,srodki_lacznosci
5446,BMW serii 3,VTRL0AKT4XC33ZVPV,pojazd
5447,BMW serii 3,92SKK2E04BSZETP53,pojazd
5448,Kajdanki,RCTUZS0PXN17TTG6S,inne
5449,Hyundai Tucson,FP9SWFC868VPL1BKP,pojazd
5450,Alkomat AlcoQuant 6020,0Z8PLDVJ29MRB74G7,inne
5451,Radiostacja nasobna,79E8UEYH0CDFK8UYU,srodki_lacznosci
5452,Radiostacja nasobna,G4ZUYFSF055G6ZP6L,srodki_lacznosci
5453,Glock 17,KRWL5ABA53ZZK0RX7,bron
5454,Toyota Corolla,2UAU9AP982MZR0V3C,pojazd
5455,Apteczka taktyczna,RBB5PKXJ3DPTK9JXF,inne
5456,Latarka taktyczna,TY6BV2GC12RDK21GG,inne
5457,Alkomat AlcoQuant 6020,GYYR3YS14FHLYGC19,inne
5458,Terminal Bluebird,VXWT2VLE0D1BLWH79,srodki_lacznosci
5459,Glock 26,GSEE951C75HX2V35L,bron
5460,Terminal Bluebird,YFTDJZ5C7BJYYMGCF,srodki_lacznosci
5461,Latarka taktyczna,RFU4L67D12G6Y71PM,inne
5462,Kia Ceed III,EZJVCU921UPT23VYT,pojazd
5463,Terminal Bluebird,RT306DW78WS2C57FJ,srodki_lacznosci
5464,Urzadzenie do detekcji narkotykow AlereTM DDS 2,LLUS3U3J3F0865DPT,inne
5465,Radiostacja nasobna,K7CMYN4H7G1YCEUKC,srodki_lacznosci
5466,Alkomat AlcoQuant 6020,ADJS6CZS08F2TY6MW,inne
5467,Radiostacja nasobna,D2PS22WP4HLVU4XVN,srodki_lacznosci
5468,Urzadzenie do detekcji narkotykow AlereTM DDS 2,K5MZS8P90T0D4A3FS,inne
5469,Skoda Superb,JUGTYXK2X4SFXV5UN,pojazd
5470,Apteczka taktyczna,ZK2HVJG96EYKBX15G,inne
5471,Hyundai Tucson,7P90PWSF5SF4UXCVZ,pojazd
5472,Volkswagen Transporter,KHZSHKTY0B6GEGMRF,pojazd
5473,Kia Ceed III,TBN33EUVXM29A4VZL,pojazd
5474,Terminal Bluebird,W572G5ZY06YPYBBZX,srodki_lacznosci
5475,Terminal Bluebird,DVLFAXKH4ZRGHWYBW,srodki_lacznosci
5476,Hyundai Tucson,EVM423E965B3AC4SD,pojazd
5477,Kia Ceed III,C8NN5T313V3NSG3E4,pojazd
5478,Hyundai Tucson,YHFW0MUB43UWXM9FF,pojazd
5479,Terminal Bluebird,W8N7P8ZJ2TA5HT3XH,srodki_lacznosci
5480,Volkswagen Transporter,AP8602MU37UN6XXNV,pojazd
5481,Radiostacja nasobna,ELWD78F746X36MSJC,srodki_lacznosci
5482,Urzadzenie do detekcji narkotykow AlereTM DDS 2,D2529UMY0JG1TRAU6,inne
5483,H&K MP5A3,G4R0HXYR6PM52HGN6,bron
5484,Latarka taktyczna,LAKN1B7N0EJ7PJ3YP,inne
5485,Kamizelka kuloodporna,3YGWW0KZ9J0LVLSS1,inne
5486,Alkomat AlcoQuant 6020,WJ9T0BCV1VDTF6SJG,inne
5487,Latarka taktyczna,W3MAMB046DGLTLPFC,inne
5488,Glock 19,U20AP1743GDFXNLNE,bron
5489,Hyundai Tucson,T4BXALWG7TRV9HZZC,pojazd
5490,Opel Crossland X,DN42CZAK0LV6UBYFD,pojazd
5491,Volkswagen Crafter,NM98FNRAX29U46NDT,pojazd
5492,Skoda Superb,9JY8ZTWL56DRJLM39,pojazd
5493,Kajdanki,0E6VJH8320189W6W8,inne
5494,Radiostacja nasobna,UEFSRCSR60SADDKKP,srodki_lacznosci
5495,H&K MP5A3,TPWCY2JB2G3T8NMLU,bron
5496,Glock 19,WE9LCVCF125GCUWEF,bron
5497,Radiostacja nasobna,W59FZ72KX1BZUAWL4,srodki_lacznosci
5498,Kajdanki,94ZK5HY85D28D0FKF,inne
5499,HK UMP,L6BS3E434A6L2J38L,bron
5500,Glock 17,7RUCUXUU2TDCHMXND,bron
5501,Radiostacja nasobna,GAC03K619N0449WU9,srodki_lacznosci
5502,Skoda Superb,LETM0TVJ7MFGSHADN,pojazd
5503,Alkomat AlcoQuant 6020,U47C0DT790J5VLSKN,inne
5504,Volkswagen Transporter,XSXU7W9T335ERWS8V,pojazd
5505,Latarka taktyczna,XTJ6STC67J3HVN7P7,inne
5506,HK UMP,2DPT3L0M2SHD5YBGH,bron
5507,Skoda Superb,YWX7SH4D78J0Y264N,pojazd
5508,Radiostacja nasobna,J3XXFDTW466TKY61F,srodki_lacznosci
5509,Radiostacja nasobna,R1P8DP492CK9C3H18,srodki_lacznosci
5510,BMW serii 3,F61RNS7TX5DS56N4W,pojazd
5511,H&K MP5A3,JYA5TFTY12ZLU9C2E,bron
5512,Radiostacja nasobna,3G01N3ZMX7VRCJGJV,srodki_lacznosci
5513,Terminal Bluebird,GSMDSR8D3XNYBLP29,srodki_lacznosci
5514,Glauberyt PM-98,RHWEF52Z3NR0VE55A,bron
5515,Kajdanki,FSWZGFDMXVLPLPM33,inne
5516,Radiostacja nasobna,FT14S1HP41079EXB2,srodki_lacznosci
5517,Latarka taktyczna,KZGEZ6N46ABEZRKHH,inne
5518,Skoda Superb,64V6SJT47K632DNTR,pojazd
5519,Volkswagen Transporter,ET45HNPH6KNSELBTT,pojazd
5520,Glock 19,G8DKF12F001N42EG4,bron
5521,Opel Crossland X,2KC97Z5PXJH91P9WA,pojazd
5522,H&K G36,VM7663M025ED4F0YK,bron
5523,Terminal Bluebird,0XF24SV40T7Y22R5L,srodki_lacznosci
5524,Radiostacja nasobna,B5FUBD2P4E3CNB67A,srodki_lacznosci
5525,Glauberyt PM-98,W9E21AWS6DDX607PE,bron
5526,Radiostacja nasobna,5RF1L1HJ2ZMPHG684,srodki_lacznosci
5527,Latarka taktyczna,03H70NYC7MRV5XB31,inne
5528,Radiostacja nasobna,L9502TNU4XZPMU151,srodki_lacznosci
5529,Radiostacja nasobna,MCD774DK5V40Y6U79,srodki_lacznosci
5530,Radiostacja nasobna,DJD7DA4R1BD7GLBG4,srodki_lacznosci
5531,Latarka taktyczna,FKEWLN5P6Y0RTKRGD,inne
5532,Glock 19,JNTAUF1S9LVN2P5ZV,bron
5533,Apteczka taktyczna,YYU8682TXBA2YL98V,inne
5534,Radiostacja nasobna,2TBE93X47JZD8VP9K,srodki_lacznosci
5535,Latarka taktyczna,AKNSRX749MJT106P3,inne
5536,Terminal Bluebird,BX15XWAC1M5MWJZ4D,srodki_lacznosci
5537,Alkomat AlcoQuant 6020,3T300BTY0CKYGY1L7,inne
5538,Hyundai Tucson,034FJK52XMSX6ZWNB,pojazd
5539,Urzadzenie do detekcji narkotykow AlereTM DDS 2,4AAUREE78VDMR097G,inne
5540,Terminal Bluebird,ST9W96VC4KR32UY8M,srodki_lacznosci
5541,Hyundai Tucson,HXRXVUB7XVW7H9LX3,pojazd
5542,Walther P99,YJYX8NNL2Y17YYD2L,bron
5543,Latarka taktyczna,7E6W650V9HBYHVRPL,inne
5544,H&K G36,RG5B519T3RSBT3JS1,bron
5545,Apteczka taktyczna,4JZTARKN8M0273KJY,inne
5546,Radiostacja nasobna,GXBT7L402HM9GNBHE,srodki_lacznosci
5547,Terminal Bluebird,67JYAA7H9ANUH9GF0,srodki_lacznosci
5548,Tonfa,17AEZBSU04YCA7BFF,bron
5549,Terminal Bluebird,TCTWCZLR321MKP1T1,srodki_lacznosci
5550,Kamizelka kuloodporna,NND3JEW6247FUD0M7,inne
5551,Opel Crossland X,XDYAVD6D2Y19RK69Z,pojazd
5552,Kajdanki,FGGDJ5FW1196FGF9F,inne
5553,Radiostacja nasobna,Z9FB6DHA9FA90A4KE,srodki_lacznosci
5554,Toyota Corolla,055JE1D56AME5SJ6G,pojazd
5555,Kamizelka kuloodporna,LKJG9MWJ2VH9KBSPS,inne
5556,Terminal Bluebird,92U4FNY12HLLXY1B8,srodki_lacznosci
5557,Urzadzenie do detekcji narkotykow AlereTM DDS 2,DAJGBNT12E5ER6Z9W,inne
5558,Kia Ceed III,LJS49WYB8SZWWRBYT,pojazd
5559,Urzadzenie do detekcji narkotykow AlereTM DDS 2,YEA1PVW46WLVVECE1,inne
5560,Tonfa,6RRE1RGFXH8RVPESM,bron
5561,Volkswagen Transporter,TCNV28D43F05W2GYE,pojazd
5562,Tonfa,7XBF8XRK60MXN193P,bron
5563,Kamizelka kuloodporna,Z72XGFUS86EENS25P,inne
5564,Terminal Bluebird,6L3CA4GN596584TUZ,srodki_lacznosci
5565,Kamizelka kuloodporna,SP2S63TJ097GBAZVL,inne
5566,Radiostacja nasobna,71L4JSS002MNFGP1T,srodki_lacznosci
5567,Terminal Bluebird,XEDLRZZW9JTSV5LNY,srodki_lacznosci
5568,Terminal Bluebird,TLYGBRZ22W9LJCLWE,srodki_lacznosci
5569,Radiostacja nasobna,LWB972V668YKNMLPU,srodki_lacznosci
5570,Urzadzenie do detekcji narkotykow AlereTM DDS 2,32HSPLJ289YCBM1T8,inne
5571,Toyota Corolla,7TKYBBB321D0A2E5U,pojazd
5572,Kamizelka kuloodporna,9R131J009HY9B7FZ0,inne
5573,Toyota Corolla,R8JXX29C5BXNV0JR1,pojazd
5574,Glock 17,TRRW0DRAXPN0GT1EH,bron
5575,Urzadzenie do detekcji narkotykow AlereTM DDS 2,GH8RESH76J9HUZK6R,inne
5576,Radiostacja nasobna,RADNPTD77GZ39C7XZ,srodki_lacznosci
5577,Latarka taktyczna,DW2WRNY05BKAGNPUB,inne
5578,Radiostacja nasobna,L63TWWLM5SU4LURKW,srodki_lacznosci
5579,Volkswagen Crafter,DFADRK1L4NAYFHKUE,pojazd
5580,H&K MP5A3,NMVJPBRGXUH43R5GS,bron
5581,Latarka taktyczna,2VUZTN497AP1X2MUT,inne
5582,H&K MP5A3,FFRV1LCH4FFFJ7JVY,bron
5583,Volkswagen Crafter,KPJG04XD1ZE31N6M8,pojazd
5584,Terminal Bluebird,UB1WET1Z15YWCHJ4A,srodki_lacznosci
5585,Apteczka taktyczna,JHYPD2LA4S1ACB2FR,inne
5586,Terminal Bluebird,F3FJDKXD68WZZNXA0,srodki_lacznosci
5587,Walther P99,DLVK2XXM0B653YDVM,bron
5588,Tonfa,8E81E88R58VUURRNK,bron
5589,Radiostacja nasobna,49GL4M3844MLD1PNL,srodki_lacznosci
5590,Hyundai Tucson,N5VPHX314EZFACTYD,pojazd
5591,Tonfa,N6D7HTB29XLG09CC4,bron
5592,Apteczka taktyczna,DL0ZL7EB37ETEH0PF,inne
5593,Glock 19,M831YUEG3T4SEMC8H,bron
5594,Volkswagen Crafter,BDLF5TJ26TGXDKUPW,pojazd
5595,Glock 26,UM6R29NW254B8LJ0H,bron
5596,Terminal Bluebird,Z4LA3SLC238CF2NSS,srodki_lacznosci
5597,Radiostacja nasobna,173GC42LXX2FPKX3C,srodki_lacznosci
5598,Apteczka taktyczna,PPPPRGVV4LAMDAJ7T,inne
5599,Sako TRG-21,KWJS07AY3ER6JXCKK,bron
5600,Volkswagen Crafter,V0EC53043URJ7XUD7,pojazd
5601,Terminal Bluebird,JS5GY3WY34VWMAAN1,srodki_lacznosci
5602,Volkswagen Crafter,55X0YT4W95UPPC527,pojazd
5603,Kamizelka kuloodporna,NZN7S4EJ6CET6P4CV,inne
5604,Terminal Bluebird,YHSEBL9CX4B58XMDM,srodki_lacznosci
5605,Radiostacja nasobna,1CH714Z328DKAVGVD,srodki_lacznosci
5606,Radiostacja nasobna,M53WF35R8DN5LT3KY,srodki_lacznosci
5607,Terminal Bluebird,6Z6JZKXK87EGUWZR3,srodki_lacznosci
5608,Volkswagen Crafter,RCRBXTRW3LPNTU06U,pojazd
5609,Glock 17,ABZCLLPFXRHMT2XF3,bron
5610,Kajdanki,5DFUXSKY21RH4RKLN,inne
5611,Walther P99,VFECR1953TWVUFVBM,bron
5612,Skoda Superb,6VUUHHL76EVABZGL6,pojazd
5613,Terminal Bluebird,VA6BW3EJ3CVA3SLEP,srodki_lacznosci
5614,Apteczka taktyczna,XD1V155G5556995R1,inne
5615,Apteczka taktyczna,89V9VWHMXC6X1E5C7,inne
5616,Urzadzenie do detekcji narkotykow AlereTM DDS 2,60U76ZG177EUUT46C,inne
5617,Toyota Corolla,GEWE4HNN4CMC2RXEF,pojazd
5618,Tonfa,6U2YZ1L612697950H,bron
5619,Kamizelka kuloodporna,NKVPT7X20262V2HSM,inne
5620,Terminal Bluebird,Y526LVPS2DB2WMH7V,srodki_lacznosci
5621,Sako TRG-21,M5CTYZ2A4YUE7P7YG,bron
5622,Terminal Bluebird,PPK62JT40CL7Z5J6A,srodki_lacznosci
5623,Glock 19,893H7D569JC4PENPR,bron
5624,Latarka taktyczna,FUJVJPL15VUYSMUGZ,inne
5625,Radiostacja nasobna,7JXJ8HPK74C648GH9,srodki_lacznosci
5626,Hyundai Tucson,8MLNH67P0K16FAEA3,pojazd
5627,Radiostacja nasobna,RYWDRETG1S9VAHM4M,srodki_lacznosci
5628,Volkswagen Transporter,FGRPS9WP0GP82L0GA,pojazd
5629,Urzadzenie do detekcji narkotykow AlereTM DDS 2,N2TJVV304P2H02BL5,inne
5630,Skoda Superb,ZLW5369M503U9E6P8,pojazd
5631,Volkswagen Transporter,H0L6WTS576P9387GW,pojazd
5632,BMW serii 3,TSSGM7G94C624VG83,pojazd
5633,Sako TRG-21,AZ07KML463LKKD7VA,bron
5634,Radiostacja nasobna,GV2DHSMSX8S6R2YD6,srodki_lacznosci
5635,H&K MP5A3,0NAP6FCZ2UNSFK0ZV,bron
5636,Volkswagen Crafter,KJ08XM944L42EJS3K,pojazd
5637,Alkomat AlcoQuant 6020,HYZSY3CS53V6K712T,inne
5638,Latarka taktyczna,3G7MSNLH9CP5RL39F,inne
5639,Kajdanki,CUDM6KMM74H56LAAX,inne
5640,Tonfa,C2MAHH0N2B2MUVZNU,bron
5641,Radiostacja nasobna,H4V7NRCM4GKZENT4T,srodki_lacznosci
5642,Apteczka taktyczna,FK42WAKW6NJNVRNS2,inne
5643,Kia Ceed III,5646YB5G8R7F0ZKHK,pojazd
5644,Kamizelka kuloodporna,ZSLLPNYZ44Z83A3VT,inne
5645,Opel Crossland X,SDHHX2LX3FSUY43HE,pojazd
5646,Terminal Bluebird,18X0REL84CZ52JNEB,srodki_lacznosci
5647,Apteczka taktyczna,3JTZZUK43Y6Y2HVD4,inne
5648,Terminal Bluebird,064JJG1U3UNY0TYCR,srodki_lacznosci
5649,Glock 19,9LSJPY1VXU73ZY3PZ,bron
5650,Volkswagen Transporter,HXY6T8DR0NDMPBBNW,pojazd
5651,Alkomat AlcoQuant 6020,MY99FFMF4V6P1B6DM,inne
5652,Toyota Corolla,4DMJP5UNXS7A5BA4J,pojazd
5653,Terminal Bluebird,3U9L3ALF9NPEYMTUD,srodki_lacznosci
5654,Apteczka taktyczna,KTE03JJJ3F5XHF6V6,inne
5655,H&K G36,MH12MWSM325BXUYAB,bron
5656,Hyundai Tucson,NN22AWZV9AU7CTPGJ,pojazd
5657,Opel Crossland X,W1PSW8H65FB1YF9G1,pojazd
5658,Radiostacja nasobna,2CFL7LGJXAARUA4A4,srodki_lacznosci
5659,Kia Ceed III,YPH34LRJ6LKLXFGX5,pojazd
5660,Glock 17,DSGBTU9L8G2EW9HE7,bron
5661,H&K G36,ATXHC64F5G8R9FSUD,bron
5662,Hyundai Tucson,DHTWD8S17U0BMUWDC,pojazd
