ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
765,Komisariat 766,"pl. Morska 58/65
21-949 Cieszyn",7
766,Komisariat 767,"ulica Gowackiego 27
09-451 Wodzisaw Slaski",7
767,Komisariat 768,"ulica Zbozowa 28/20
01-154 Warszawa",12
768,Komisariat 769,"pl. Mieszka I 096
03-116 Siemianowice Slaskie",7
769,Komisariat 770,"pl. Zakole 157
88-838 Czechowice-Dziedzice",5
770,Komisariat 771,"ul. Zakole 86/32
58-206 Gorzow Wielkopolski",12
771,Komisariat 772,"al. Poziomkowa 579
82-300 Kodzko",10
772,Komisariat 773,"pl. Kraszewskiego 56
95-229 Pock",11
773,Komisariat 774,"al. Zwyciestwa 85
49-492 Szczytno",3
774,Komisariat 775,"aleja Borowkowa 199
91-195 Legnica",14
775,Komisariat 776,"ul. Podgorna 341
59-218 Suwaki",12
776,Komisariat 777,"al. Opolska 795
36-547 Koscian",8
777,Komisariat 778,"ulica Konopnickiej 15/71
64-017 Wejherowo",7
778,Komisariat 779,"plac Kalinowa 34
68-215 Nowa Ruda",8
779,Komisariat 780,"aleja Krasinskiego 20
65-390 Gniezno",10
780,Komisariat 781,"pl. Warszawska 01/70
85-274 Chojnice",7
781,Komisariat 782,"ul. Jagodowa 276
03-322 Goleniow",16
782,Komisariat 783,"aleja Kossaka 93/53
97-188 Mysowice",7
783,Komisariat 784,"ul. Krancowa 79/91
82-193 Inowrocaw",15
784,Komisariat 785,"plac Korczaka 00
06-367 Ostroeka",8
785,Komisariat 786,"pl. Rumiankowa 156
54-693 Supsk",11
786,Komisariat 787,"plac Baczynskiego 93
51-783 Pabianice",13
787,Komisariat 788,"pl. Turkusowa 74/13
45-178 Piotrkow Trybunalski",12
788,Komisariat 789,"pl. Jadwigi 52/90
79-808 Sieradz",8
789,Komisariat 790,"aleja Sarnia 08/55
98-621 Siemianowice Slaskie",8
790,Komisariat 791,"aleja Wiazowa 166
28-412 Zamosc",12
791,Komisariat 792,"pl. Perowa 14/23
07-837 Augustow",14
792,Komisariat 793,"aleja Chabrowa 16/35
50-653 Gogow",11
793,Komisariat 794,"al. Zeglarska 246
95-931 Gorzow Wielkopolski",15
794,Komisariat 795,"ulica Bankowa 77
07-612 Sroda Wielkopolska",13
795,Komisariat 796,"al. Wyzwolenia 50/62
61-492 Szczytno",9
796,Komisariat 797,"ulica Wolnosci 271
10-404 Biaa Podlaska",10
797,Komisariat 798,"plac Kasprowicza 745
38-457 Oswiecim",10
798,Komisariat 799,"al. Liliowa 09/06
52-625 Kielce",8
799,Komisariat 800,"pl. Miarki 38/30
05-941 Krasnik",8
800,Komisariat 801,"ul. Wisniowa 09
96-331 Oswiecim",9
801,Komisariat 802,"pl. Zabia 399
38-112 Koszalin",7
802,Komisariat 803,"ulica Starowiejska 84/34
10-984 Kielce",7
803,Komisariat 804,"al. Dworska 22/20
88-036 Rybnik",16
804,Komisariat 805,"ul. Chabrowa 96
99-312 Wielun",9
805,Komisariat 806,"aleja Ogrodowa 155
81-164 Ciechanow",12
806,Komisariat 807,"pl. Floriana 09/38
96-415 Debica",10
807,Komisariat 808,"al. Torowa 44/06
80-150 Radomsko",5
808,Komisariat 809,"al. Osiedlowa 90/36
59-505 Kedzierzyn-Kozle",14
809,Komisariat 810,"ul. Jadwigi 75
54-947 Olesnica",11
810,Komisariat 811,"al. Wolnosci 89
97-077 Lublin",9
811,Komisariat 812,"aleja Okrzei 836
95-556 Bytom",10
812,Komisariat 813,"ulica Glowna 57/23
96-722 Iawa",8
813,Komisariat 814,"ulica Rajska 077
36-887 Radomsko",18
814,Komisariat 815,"ul. Wadysawa okietka 54
10-174 Wodzisaw Slaski",7
815,Komisariat 816,"ulica Narcyzowa 63
41-151 Opole",11
816,Komisariat 817,"ulica Krancowa 97
29-897 Swidnica",11
817,Komisariat 818,"pl. Swierkowa 224
37-013 Przemysl",7
818,Komisariat 819,"plac Tartaczna 125
02-461 Nysa",15
819,Komisariat 820,"al. Piekna 67/22
73-819 Pabianice",7
820,Komisariat 821,"aleja Szeroka 515
59-089 Zabrze",8
821,Komisariat 822,"plac Zakatek 038
43-226 Ciechanow",10
822,Komisariat 823,"ulica Tuwima 43
33-363 Zabrze",7
823,Komisariat 824,"ulica Teczowa 38
82-440 Sieradz",16
824,Komisariat 825,"aleja Stycznia 45/66
28-803 odz",8
825,Komisariat 826,"pl. Zamkowa 95
86-379 Wrocaw",12
826,Komisariat 827,"pl. Opolska 42/32
31-124 Tarnow",11
827,Komisariat 828,"plac Wiejska 45/31
87-025 Warszawa",4
828,Komisariat 829,"ulica Konwaliowa 155
40-550 Wrzesnia",5
829,Komisariat 830,"ulica Zabia 27/60
67-106 Jaworzno",9
830,Komisariat 831,"pl. Kossaka 90/79
91-880 Tomaszow Mazowiecki",12
831,Komisariat 832,"ulica Konopnickiej 92/39
62-358 Reda",11
832,Komisariat 833,"ul. Magnoliowa 842
18-882 Grodzisk Mazowiecki",11
833,Komisariat 834,"al. Traugutta 987
75-320 Mawa",17
834,Komisariat 835,"aleja Strazacka 677
22-523 Kluczbork",8
835,Komisariat 836,"plac Warszawska 57/87
03-180 Cieszyn",16
836,Komisariat 837,"pl. Rozana 109
80-463 owicz",12
837,Komisariat 838,"ul. Nadbrzezna 49/50
52-963 Ostrowiec Swietokrzyski",20
838,Komisariat 839,"al. Nadbrzezna 96/67
77-589 Konin",10
839,Komisariat 840,"plac Zacisze 74/59
04-387 Zyrardow",7
840,Komisariat 841,"ulica Urocza 53
86-520 Kodzko",11
841,Komisariat 842,"ulica Wroblewskiego 31/51
59-110 Kedzierzyn-Kozle",12
842,Komisariat 843,"plac Grabowa 67
48-728 Siedlce",9
843,Komisariat 844,"ulica Rycerska 29/19
63-866 Opole",8
844,Komisariat 845,"aleja Zurawia 354
84-867 Swiecie",8
845,Komisariat 846,"pl. Starowiejska 87
54-066 Zambrow",10
846,Komisariat 847,"aleja Staffa 36
80-074 Szczytno",14
847,Komisariat 848,"ul. Parkowa 361
21-136 Kutno",11
848,Komisariat 849,"pl. Diamentowa 19/73
09-827 Marki",8
849,Komisariat 850,"ul. Ludowa 72/11
88-805 Lublin",14
850,Komisariat 851,"plac Kielecka 40
93-985 Olkusz",13
851,Komisariat 852,"al. Konopnickiej 12/43
98-001 Skierniewice",11
852,Komisariat 853,"ul. Kaliska 663
48-265 Ciechanow",12
853,Komisariat 854,"ulica Kwiatowa 01/24
40-488 Sochaczew",14
854,Komisariat 855,"al. Orla 07/24
96-899 Zabrze",7
855,Komisariat 856,"pl. Lazurowa 49
91-163 Przemysl",11
856,Komisariat 857,"pl. Widok 38/68
36-750 Augustow",10
857,Komisariat 858,"al. Krakowska 32/52
22-872 Dabrowa Gornicza",10
858,Komisariat 859,"ulica Okrzei 655
96-013 Konin",9
859,Komisariat 860,"ulica Okrzei 40/19
93-293 Cieszyn",9
860,Komisariat 861,"ulica Czarnieckiego 530
21-918 Brodnica",7
861,Komisariat 862,"pl. Rajska 07
62-841 Olsztyn",11
862,Komisariat 863,"pl. Wolnosci 98/29
06-252 Sopot",7
863,Komisariat 864,"aleja Tylna 190
32-401 Tychy",17
864,Komisariat 865,"ul. Wierzbowa 902
33-787 Biaystok",11
865,Komisariat 866,"al. Reja 075
89-001 Biaogard",14
866,Komisariat 867,"al. Wiazowa 74
79-888 Koo",5
867,Komisariat 868,"pl. Wodna 76
84-841 Rybnik",18
868,Komisariat 869,"plac Gdanska 92
52-566 Zary",15
869,Komisariat 870,"aleja Rajska 96/13
70-051 Zabki",12
870,Komisariat 871,"ul. Hutnicza 38/63
48-768 Leszno",10
871,Komisariat 872,"ul. Miodowa 319
65-263 Zabrze",12
872,Komisariat 873,"pl. Pocztowa 95/64
13-273 Krakow",14
873,Komisariat 874,"ulica Prusa 007
25-384 Czeladz",7
874,Komisariat 875,"ul. Maczka 08
29-060 ukow",10
875,Komisariat 876,"ul. Jadwigi 75/34
73-866 Malbork",10
876,Komisariat 877,"ulica Orzechowa 65/00
12-672 Mysowice",11
877,Komisariat 878,"plac Pomorska 84
92-697 Sieradz",9
878,Komisariat 879,"ul. Tuwima 116
16-945 Ostroeka",15
879,Komisariat 880,"ulica Dworcowa 17
30-065 Kluczbork",12
880,Komisariat 881,"ulica Konarskiego 38
26-883 Koscierzyna",7
881,Komisariat 882,"ul. Zakatek 99
39-647 Swiebodzice",14
882,Komisariat 883,"ul. Traugutta 52/56
27-503 ukow",14
883,Komisariat 884,"ulica Sowia 751
87-966 Wabrzych",9
884,Komisariat 885,"ul. Miosza 148
93-660 Bochnia",6
885,Komisariat 886,"al. Morcinka 510
88-234 Rumia",7
886,Komisariat 887,"ul. Orkana 745
61-669 Ostrowiec Swietokrzyski",7
887,Komisariat 888,"pl. Maa 38
34-822 Oawa",8
888,Komisariat 889,"ul. Ludowa 76
61-553 Zgorzelec",3
889,Komisariat 890,"al. Skosna 305
88-087 Wyszkow",8
890,Komisariat 891,"aleja Letnia 89
57-751 Jawor",11
891,Komisariat 892,"ul. Chemonskiego 74/59
47-611 Zawiercie",5
892,Komisariat 893,"al. Wodna 82
65-457 Rumia",8
893,Komisariat 894,"ul. Leszczynowa 28
77-001 Ostroda",12
894,Komisariat 895,"al. Pomorska 16/62
06-275 Kielce",7
895,Komisariat 896,"ul. Wodna 06
52-019 Elblag",13
896,Komisariat 897,"ul. Zeromskiego 417
55-833 Piekary Slaskie",17
897,Komisariat 898,"plac Zabia 56
94-515 Myszkow",8
898,Komisariat 899,"ul. Sawickiej 85/02
17-131 Stargard Szczecinski",8
899,Komisariat 900,"ulica Liliowa 40/94
23-820 Wrocaw",15
900,Komisariat 901,"aleja Towarowa 447
27-678 Zgorzelec",9
901,Komisariat 902,"ul. Topolowa 654
84-218 Wielun",8
902,Komisariat 903,"pl. Zabia 079
59-970 Piastow",8
903,Komisariat 904,"aleja Koataja 98/30
36-249 Czechowice-Dziedzice",4
904,Komisariat 905,"aleja Zdrojowa 24/46
76-140 Wrocaw",12
905,Komisariat 906,"aleja Swierkowa 69/73
99-881 Ek",9
906,Komisariat 907,"pl. Targowa 48/38
74-349 Biaystok",12
907,Komisariat 908,"pl. Witosa 637
68-861 Raciborz",12
908,Komisariat 909,"pl. Kamienna 50/64
53-075 Czechowice-Dziedzice",7
909,Komisariat 910,"al. Jaboniowa 14/37
12-894 aziska Gorne",10
910,Komisariat 911,"ul. Mieszka I 401
15-419 Zgorzelec",7
911,Komisariat 912,"ulica Andersa 01/34
64-543 Ostrow Mazowiecka",9
912,Komisariat 913,"plac Turystyczna 64
46-998 Nowy Targ",12
913,Komisariat 914,"pl. Jaskocza 98
15-040 Brzeg",16
914,Komisariat 915,"pl. Skodowskiej-Curie 09/68
18-729 Bydgoszcz",11
915,Komisariat 916,"ul. Okrzei 97/27
62-581 Woomin",14
916,Komisariat 917,"al. Bema 867
33-895 Krakow",9
917,Komisariat 918,"ulica Narcyzowa 91
34-870 Lubin",9
918,Komisariat 919,"aleja Daszynskiego 70/95
40-824 Ketrzyn",11
919,Komisariat 920,"plac Szymanowskiego 35/38
44-314 Krosno",9
920,Komisariat 921,"al. Bolesawa Krzywoustego 58
75-651 Kluczbork",8
921,Komisariat 922,"ulica Fiokowa 845
01-826 Ruda Slaska",10
922,Komisariat 923,"pl. Nakowskiej 69/09
61-236 Sroda Wielkopolska",7
923,Komisariat 924,"ul. Andersa 92
40-760 Biaystok",8
924,Komisariat 925,"aleja Stroma 24/81
22-160 Wocawek",15
925,Komisariat 926,"al. Cegielniana 40/64
79-992 Brzeg",12
926,Komisariat 927,"ulica Kreta 53
69-406 Swiecie",14
927,Komisariat 928,"ulica Szymanowskiego 58
09-424 owicz",8
928,Komisariat 929,"al. Szkolna 10
80-948 Kalisz",10
929,Komisariat 930,"plac Sowackiego 084
44-962 Zory",13
930,Komisariat 931,"pl. Sowia 792
72-769 Ponsk",11
931,Komisariat 932,"pl. Chmielna 73
94-901 Ostroda",6
932,Komisariat 933,"ulica Gogowa 63/05
35-053 Lubliniec",11
933,Komisariat 934,"ul. Zacisze 475
95-625 Gizycko",9
934,Komisariat 935,"ul. Wypoczynkowa 65
13-088 Biaa Podlaska",13
935,Komisariat 936,"ul. Poniatowskiego 34/38
39-348 Grudziadz",10
936,Komisariat 937,"plac Wieniawskiego 25
44-900 Swarzedz",9
937,Komisariat 938,"plac abedzia 405
17-348 Bielsk Podlaski",8
938,Komisariat 939,"pl. Powstancow 26
63-679 Pock",13
939,Komisariat 940,"aleja Kalinowa 91
31-144 Swidnica",11
940,Komisariat 941,"pl. Szczesliwa 90/88
72-734 Koo",12
941,Komisariat 942,"al. Piastowska 92
97-758 Sroda Wielkopolska",9
942,Komisariat 943,"al. Wiejska 623
42-487 Jawor",10
943,Komisariat 944,"aleja Morska 81
76-911 Siemianowice Slaskie",19
944,Komisariat 945,"al. Korfantego 62/62
75-008 Krasnik",6
945,Komisariat 946,"al. Kaszubska 90
44-515 Swinoujscie",10
946,Komisariat 947,"ulica Olchowa 68/79
69-591 Pruszkow",9
947,Komisariat 948,"ul. Brzoskwiniowa 77
36-028 Nowy Sacz",7
948,Komisariat 949,"pl. Lipowa 21/64
44-658 Piekary Slaskie",8
949,Komisariat 950,"aleja Partyzantow 88
34-521 odz",15
950,Komisariat 951,"pl. Kaliska 55
44-626 Sandomierz",5
951,Komisariat 952,"plac Maja 61
13-159 Bielsk Podlaski",16
952,Komisariat 953,"aleja Poprzeczna 17/87
55-471 Nowa Ruda",10
953,Komisariat 954,"ulica Daszynskiego 615
39-394 Inowrocaw",11
954,Komisariat 955,"pl. Mynska 38/60
91-690 Przemysl",9
955,Komisariat 956,"ulica Kilinskiego 90/14
21-758 Rumia",13
956,Komisariat 957,"pl. Konstytucji 3 Maja 00
05-920 Ostrowiec Swietokrzyski",15
957,Komisariat 958,"pl. Jaworowa 858
30-996 Krotoszyn",6
958,Komisariat 959,"pl. Narcyzowa 58/59
42-415 odz",10
959,Komisariat 960,"ul. Stolarska 10
08-824 Wejherowo",8
960,Komisariat 961,"plac Wczasowa 305
24-543 Pia",11
961,Komisariat 962,"pl. Narutowicza 42
09-142 Krasnik",7
962,Komisariat 963,"ul. Harcerska 76
72-644 Suwaki",8
963,Komisariat 964,"ulica Leszczynowa 397
58-931 Piotrkow Trybunalski",13
964,Komisariat 965,"aleja Skosna 849
07-668 Kodzko",10
965,Komisariat 966,"al. Robotnicza 12/08
81-282 Bielsk Podlaski",13
966,Komisariat 967,"pl. Wieniawskiego 26/00
49-716 Lebork",8
967,Komisariat 968,"ul. Srebrna 368
45-991 Oswiecim",8
968,Komisariat 969,"al. Irysowa 82
01-238 Bechatow",9
969,Komisariat 970,"ulica Tysiaclecia 04
96-029 Szczecinek",12
970,Komisariat 971,"al. Stycznia 93
41-825 Mikoow",5
971,Komisariat 972,"al. Cedrowa 82/14
77-130 Leszno",11
972,Komisariat 973,"pl. Cicha 22
86-220 Lublin",8
973,Komisariat 974,"ulica Dabrowskiej 75
46-704 Sosnowiec",12
974,Komisariat 975,"ul. Zakole 97/62
09-871 Grudziadz",10
975,Komisariat 976,"al. Willowa 49
41-044 Raciborz",6
976,Komisariat 977,"pl. Turystyczna 750
58-439 aziska Gorne",8
977,Komisariat 978,"ul. Zielona 81
95-713 Marki",5
978,Komisariat 979,"al. Morelowa 916
32-262 Piotrkow Trybunalski",10
979,Komisariat 980,"al. Kaliska 905
56-498 Inowrocaw",10
980,Komisariat 981,"pl. Mazurska 89/07
80-055 Wrocaw",6
981,Komisariat 982,"plac Zota 43
94-041 Piaseczno",10
982,Komisariat 983,"pl. Jastrzebia 69/77
64-132 Nysa",9
983,Komisariat 984,"plac Odrzanska 949
81-513 Biaogard",7
984,Komisariat 985,"al. Jana Sobieskiego 03/71
62-822 Nowy Sacz",13
985,Komisariat 986,"plac Zakole 95
65-997 Suwaki",7
986,Komisariat 987,"ulica Spacerowa 896
53-924 Radomsko",13
987,Komisariat 988,"ulica Tysiaclecia 51/35
97-207 Kielce",15
988,Komisariat 989,"plac Zielna 179
33-529 Czerwionka-Leszczyny",9
989,Komisariat 990,"al. Sikorskiego 525
59-302 Goleniow",4
990,Komisariat 991,"ulica Jasna 361
98-268 Sosnowiec",8
991,Komisariat 992,"pl. Bema 452
63-425 Ek",7
992,Komisariat 993,"pl. Bydgoska 64
66-991 Piotrkow Trybunalski",8
993,Komisariat 994,"ulica Spokojna 745
97-048 Kluczbork",10
994,Komisariat 995,"ul. Staszica 51/83
04-091 odz",7
995,Komisariat 996,"al. Koataja 31/53
78-997 Polkowice",9
996,Komisariat 997,"aleja Powstancow Wielkopolskich 21
48-004 Jaworzno",6
997,Komisariat 998,"ulica Szmaragdowa 225
18-325 Mielec",12
998,Komisariat 999,"plac Wislana 05
34-936 Gorzow Wielkopolski",7
999,Komisariat 1000,"ul. Lubelska 08
36-578 Swarzedz",7
1000,Komisariat 1001,"ulica Cicha 386
77-900 Torun",10
1001,Komisariat 1002,"ulica Zapolskiej 45
48-067 Koscierzyna",10
1002,Komisariat 1003,"al. Spodzielcza 12
40-115 Suwaki",13
1003,Komisariat 1004,"pl. Starowiejska 453
86-966 Koscian",9
1004,Komisariat 1005,"ulica Powstancow Slaskich 733
99-667 Starogard Gdanski",4
1005,Komisariat 1006,"ul. Listopada 70/78
01-183 Krasnik",9
1006,Komisariat 1007,"plac Wrzosowa 47/68
83-472 Zywiec",3
1007,Komisariat 1008,"ul. Jana Sobieskiego 07/91
43-268 Krakow",11
1008,Komisariat 1009,"ulica Szpitalna 01/79
04-905 Ciechanow",11
1009,Komisariat 1010,"pl. Jana III Sobieskiego 77
60-466 Swidnica",10
1010,Komisariat 1011,"ulica Wczasowa 41/30
93-201 Ruda Slaska",10
1011,Komisariat 1012,"aleja Zielona 37
36-283 Gniezno",8
1012,Komisariat 1013,"ul. Targowa 520
78-439 Torun",11
1013,Komisariat 1014,"pl. Dugosza 17
07-715 Ostroda",8
1014,Komisariat 1015,"aleja Skrajna 13/57
07-182 Supsk",5
1015,Komisariat 1016,"al. Korczaka 28
81-090 Chorzow",7
1016,Komisariat 1017,"ul. Jeziorna 085
88-205 Zakopane",8
1017,Komisariat 1018,"aleja Widok 793
07-923 Koo",7
1018,Komisariat 1019,"aleja Dugosza 61
85-035 Jelenia Gora",8
1019,Komisariat 1020,"al. aczna 567
19-493 Ostrow Mazowiecka",9
1020,Komisariat 1021,"ul. Handlowa 691
42-313 Gizycko",12
1021,Komisariat 1022,"pl. Ceglana 22/14
59-664 Lubin",12
1022,Komisariat 1023,"plac Dolna 81/15
84-870 Kodzko",6
1023,Komisariat 1024,"pl. Szczesliwa 425
34-052 Chorzow",15
1024,Komisariat 1025,"al. Morcinka 850
05-080 Swiecie",9
1025,Komisariat 1026,"aleja Skargi 661
62-434 Ostrow Wielkopolski",9
1026,Komisariat 1027,"al. Rubinowa 951
97-066 aziska Gorne",7
1027,Komisariat 1028,"aleja Radosna 10/31
84-824 Reda",15
1028,Komisariat 1029,"plac Jarzebinowa 43/97
80-068 Nowy Dwor Mazowiecki",9
1029,Komisariat 1030,"pl. Jana 81
51-567 Sandomierz",9
1030,Komisariat 1031,"al. Chmielna 078
98-090 Starogard Gdanski",9
1031,Komisariat 1032,"ul. Prosta 476
21-968 Warszawa",11
1032,Komisariat 1033,"aleja Gornicza 778
20-973 Grudziadz",9
1033,Komisariat 1034,"ul. Sokola 26/28
56-974 Nowy Sacz",11
1034,Komisariat 1035,"pl. Grunwaldzka 00/43
95-063 Zawiercie",10
1035,Komisariat 1036,"ul. Batalionow Chopskich 429
16-665 omza",8
1036,Komisariat 1037,"ul. Baczynskiego 485
27-385 Torun",5
1037,Komisariat 1038,"pl. Malczewskiego 29/65
01-401 Nowa Ruda",9
1038,Komisariat 1039,"plac Kosciuszki 824
26-114 Kutno",8
1039,Komisariat 1040,"aleja Ceglana 48/73
35-316 Sieradz",13
1040,Komisariat 1041,"plac Debowa 74/70
74-958 Legnica",9
1041,Komisariat 1042,"al. Skosna 32/17
30-230 Knurow",14
1042,Komisariat 1043,"aleja Gogowa 83
85-352 Koo",14
1043,Komisariat 1044,"aleja Floriana 886
90-705 Puawy",15
1044,Komisariat 1045,"pl. Glowna 27
91-466 Koszalin",10
1045,Komisariat 1046,"al. Sportowa 25
73-630 Brzeg",16
1046,Komisariat 1047,"pl. Fabryczna 34
11-452 Pruszcz Gdanski",8
1047,Komisariat 1048,"ul. Jesionowa 97
73-414 Kwidzyn",16
1048,Komisariat 1049,"plac Wyszynskiego 336
31-224 Jelenia Gora",10
1049,Komisariat 1050,"al. Brzozowa 988
95-765 Zamosc",9
1050,Komisariat 1051,"ul. Gowackiego 94
26-749 Krotoszyn",12
1051,Komisariat 1052,"ulica Gaczynskiego 00/05
43-354 aziska Gorne",11
1052,Komisariat 1053,"plac Rubinowa 420
31-674 Bolesawiec",6
1053,Komisariat 1054,"ulica Orla 263
52-347 Debica",16
1054,Komisariat 1055,"aleja Wroblewskiego 03/32
53-261 Zywiec",9
1055,Komisariat 1056,"ul. Plazowa 47/33
96-844 Piastow",11
1056,Komisariat 1057,"ul. Zwirowa 30/49
90-970 Tarnobrzeg",14
1057,Komisariat 1058,"pl. Rycerska 101
71-118 Opole",15
1058,Komisariat 1059,"plac Klasztorna 52/70
98-371 Nowy Sacz",5
1059,Komisariat 1060,"al. Browarna 00
58-820 Ostrowiec Swietokrzyski",11
1060,Komisariat 1061,"plac Bema 70/15
36-752 Biaa Podlaska",7
1061,Komisariat 1062,"ul. Gaczynskiego 26
11-699 Sochaczew",4
1062,Komisariat 1063,"aleja Szewska 72
05-273 Swiebodzice",9
1063,Komisariat 1064,"al. Mickiewicza 72
58-003 Zielona Gora",15
1064,Komisariat 1065,"ul. Grottgera 05
78-870 Zabrze",7
1065,Komisariat 1066,"aleja Sienkiewicza 45
31-372 Nowy Targ",12
1066,Komisariat 1067,"al. Ptasia 72/95
06-560 Pock",10
1067,Komisariat 1068,"aleja Pocztowa 53/59
50-699 Zory",13
1068,Komisariat 1069,"aleja Powstancow Wielkopolskich 390
17-060 Sandomierz",8
1069,Komisariat 1070,"plac Malczewskiego 30
64-133 Lublin",8
1070,Komisariat 1071,"ulica Kilinskiego 91
57-230 Gorlice",8
1071,Komisariat 1072,"ul. Zachodnia 62
59-346 Elblag",11
1072,Komisariat 1073,"al. Wiklinowa 20/55
40-657 Nysa",7
1073,Komisariat 1074,"al. Zwirowa 456
61-258 Swidnik",11
1074,Komisariat 1075,"plac Opolska 72/03
99-259 Czerwionka-Leszczyny",9
1075,Komisariat 1076,"ul. aczna 04
37-467 Lubliniec",12
1076,Komisariat 1077,"plac Zdrojowa 24/05
17-806 Pruszkow",7
1077,Komisariat 1078,"al. Konstytucji 3 Maja 15/09
98-419 Turek",10
1078,Komisariat 1079,"al. Turkusowa 720
28-599 Wocawek",11
1079,Komisariat 1080,"al. Grzybowa 09
52-408 Skierniewice",12
1080,Komisariat 1081,"plac Kilinskiego 19
61-845 Nowy Dwor Mazowiecki",15
1081,Komisariat 1082,"plac Jesienna 66/95
40-436 Olesnica",11
1082,Komisariat 1083,"ulica Spacerowa 61
72-493 Jelenia Gora",12
1083,Komisariat 1084,"ulica Miosza 811
91-221 Koszalin",5
1084,Komisariat 1085,"aleja Sokola 48
63-573 ukow",11
1085,Komisariat 1086,"ulica Osiedlowa 50/74
23-625 Malbork",10
1086,Komisariat 1087,"ulica Koscielna 89/32
40-107 Debica",8
1087,Komisariat 1088,"plac Skargi 969
98-621 Bielawa",10
1088,Komisariat 1089,"ulica Reymonta 32
80-307 Wocawek",8
1089,Komisariat 1090,"plac Jastrzebia 54/60
80-837 Pszczyna",8
1090,Komisariat 1091,"aleja Waska 409
86-298 Cieszyn",9
1091,Komisariat 1092,"aleja Skosna 90
63-830 Rzeszow",6
1092,Komisariat 1093,"plac Jaworowa 51
68-835 Gorzow Wielkopolski",10
1093,Komisariat 1094,"ul. Krakowska 069
78-284 Kielce",19
1094,Komisariat 1095,"aleja Lawendowa 873
04-294 Ostrow Wielkopolski",12
1095,Komisariat 1096,"al. Bankowa 988
86-358 Czestochowa",8
1096,Komisariat 1097,"al. Staszica 364
30-654 Ciechanow",11
1097,Komisariat 1098,"al. Krucza 381
21-942 Nowa Ruda",9
1098,Komisariat 1099,"ulica Wojska Polskiego 867
36-041 Reda",5
1099,Komisariat 1100,"pl. Zapolskiej 76/61
16-568 Chorzow",18
1100,Komisariat 1101,"pl. Traugutta 27/16
46-586 Wrocaw",11
1101,Komisariat 1102,"aleja Diamentowa 03
10-054 Tarnobrzeg",7
1102,Komisariat 1103,"ulica Bekitna 548
16-518 Mikoow",11
1103,Komisariat 1104,"plac Wiatraczna 95
49-041 Legionowo",12
1104,Komisariat 1105,"plac Konopnickiej 47
47-904 Bydgoszcz",9
1105,Komisariat 1106,"ul. Kolejowa 270
65-321 Czestochowa",9
1106,Komisariat 1107,"plac abedzia 43
66-215 Ciechanow",13
1107,Komisariat 1108,"ulica Korczaka 11/67
61-228 Chem",14
1108,Komisariat 1109,"ulica Leszczynowa 26/78
64-800 Biaogard",12
1109,Komisariat 1110,"al. Jana 782
31-859 Ruda Slaska",6
1110,Komisariat 1111,"pl. Jadwigi 507
18-093 Oswiecim",7
1111,Komisariat 1112,"aleja Srednia 61/72
62-296 Grodzisk Mazowiecki",7
1112,Komisariat 1113,"al. Cmentarna 926
48-501 Kalisz",13
1113,Komisariat 1114,"al. Jana 58
35-262 Kalisz",11
1114,Komisariat 1115,"al. Batycka 013
26-319 Rzeszow",11
1115,Komisariat 1116,"pl. Powstancow Wielkopolskich 713
38-531 Jawor",7
1116,Komisariat 1117,"ulica Kamienna 796
61-406 Wacz",6
1117,Komisariat 1118,"ulica Skosna 236
43-573 Lublin",8
1118,Komisariat 1119,"al. Jesienna 89
09-845 Wielun",12
1119,Komisariat 1120,"al. Strzelecka 28
94-158 Czestochowa",13
1120,Komisariat 1121,"al. Kielecka 706
66-310 Gdansk",18
1121,Komisariat 1122,"ul. Bolesawa Chrobrego 00/60
72-659 Rzeszow",13
1122,Komisariat 1123,"pl. Mysliwska 271
30-732 Pock",15
1123,Komisariat 1124,"pl. Staffa 191
44-539 Zambrow",9
1124,Komisariat 1125,"al. Sowia 35/90
32-358 Sieradz",15
1125,Komisariat 1126,"ulica Niecaa 94
54-226 Marki",12
1126,Komisariat 1127,"al. Jadwigi 92/27
54-585 Pia",8
1127,Komisariat 1128,"ulica Kilinskiego 88
67-926 Poznan",13
1128,Komisariat 1129,"al. Wysoka 983
61-120 Zgorzelec",13
1129,Komisariat 1130,"pl. Lazurowa 52/34
28-609 Malbork",11
1130,Komisariat 1131,"ulica Zakatek 826
60-565 Wocawek",14
1131,Komisariat 1132,"pl. Szczesliwa 60/00
36-312 Nowy Sacz",7
1132,Komisariat 1133,"ulica Miosza 21/64
20-839 Bielsko-Biaa",13
1133,Komisariat 1134,"al. Mynska 44/20
23-169 Tczew",9
1134,Komisariat 1135,"plac Krzywa 65
09-362 Debica",9
1135,Komisariat 1136,"aleja Sciegiennego 64/02
39-029 Bytom",7
1136,Komisariat 1137,"ul. Kaliska 25/39
70-513 Ek",10
1137,Komisariat 1138,"al. Brzechwy 33/01
42-978 Chorzow",9
1138,Komisariat 1139,"ul. Tulipanowa 54
30-261 Zyrardow",7
1139,Komisariat 1140,"plac Grabowa 05
15-015 Legnica",12
1140,Komisariat 1141,"ul. Plater 50
27-078 Starogard Gdanski",8
1141,Komisariat 1142,"plac Niecaa 53
38-079 Sieradz",9
1142,Komisariat 1143,"pl. Jesienna 674
57-200 Gliwice",7
1143,Komisariat 1144,"al. Kusocinskiego 87/82
10-350 Puawy",10
1144,Komisariat 1145,"al. Kilinskiego 00/11
27-191 Jarosaw",10
