ID,Nazwa,Numer_seryjny,Rodzaj
18897,Kia Ceed III,7APL43YV770A93LV2,pojazd
18898,BMW serii 3,4FFWN5VB53JB4XSVV,pojazd
18899,Radiostacja nasobna,RPEDMUVA41WT6RCNT,srodki_lacznosci
18900,Glock 17,MPNXMBKN7P9WBYE9K,bron
18901,Apteczka taktyczna,BL7FVA4J16L75P0N9,inne
18902,Terminal Bluebird,YJSR4RVE0W2JSTEZ7,srodki_lacznosci
18903,Radiostacja nasobna,LZMULW3T28R1Y1KTJ,srodki_lacznosci
18904,Glock 17,4JY9WY58959NX2FTM,bron
18905,Glock 17,E34BD98384LK6FBXZ,bron
18906,Skoda Superb,EWMMRTE35ADPBTMH0,pojazd
18907,Terminal Bluebird,B4WA53LZ8JL1YDZ3U,srodki_lacznosci
18908,Kajdanki,CUAH5U9A1NY1HVJ4F,inne
18909,Radiostacja nasobna,S9XSRP0A2W5SW7MG3,srodki_lacznosci
18910,Alkomat AlcoQuant 6020,UDHV9GW91XR8Y5M6Y,inne
18911,BMW serii 3,VHZTGPZA4WARBVY6W,pojazd
18912,Volkswagen Crafter,MMAEJ6402LU3UGZXS,pojazd
18913,Volkswagen Transporter,9AHDXK4U39MP41FFG,pojazd
18914,Sako TRG-21,F4NKZH0FXG9ZYZGK5,bron
18915,Terminal Bluebird,B047BNPR0HRG75TVC,srodki_lacznosci
18916,Radiostacja nasobna,TW8B13Z40PD1KB1F0,srodki_lacznosci
18917,Terminal Bluebird,01XK2MLA580R0EM2P,srodki_lacznosci
18918,Radiostacja nasobna,BY7B9NML47LDBN4V2,srodki_lacznosci
18919,Apteczka taktyczna,83ZBV33668CF5B4U9,inne
18920,Volkswagen Crafter,J1HTDTLB0BL3NSK80,pojazd
18921,H&K MP5A3,CS7T7SD46BB31FKD2,bron
18922,Kamizelka kuloodporna,C7W9WY4Z8WRD24CE6,inne
18923,Tonfa,2LLGR141XN85BDD85,bron
18924,Kajdanki,WPEPDW774PV29SFSU,inne
18925,Apteczka taktyczna,XP0UD1TB6M86454T8,inne
18926,Radiostacja nasobna,56KA8V759FWCW1ZPR,srodki_lacznosci
18927,Volkswagen Transporter,8UMWMU4B1U9ZFV1PB,pojazd
18928,Sako TRG-21,52C778LN6WYNWC901,bron
18929,Toyota Corolla,T35B7ZJ17KJYDGDL4,pojazd
18930,BMW serii 3,XW87XVJU0UKZDPSVE,pojazd
18931,Radiostacja nasobna,4K5H3TXA6PD9JZCJC,srodki_lacznosci
18932,Terminal Bluebird,1AT41DS31KSTYXS7C,srodki_lacznosci
18933,Urzadzenie do detekcji narkotykow AlereTM DDS 2,1X4UFYN306E4F63V7,inne
18934,Hyundai Tucson,REDRFLYG94EAYJ4BZ,pojazd
18935,Volkswagen Transporter,41P3E09Z7893S3N6B,pojazd
18936,Latarka taktyczna,532VH81S6PGBED24F,inne
18937,H&K MP5A3,U4HVRA24717ZMJ53W,bron
18938,Apteczka taktyczna,USWB4H659VDHDRRVJ,inne
18939,Volkswagen Crafter,A89KKA644P25V0TF1,pojazd
18940,Latarka taktyczna,0A3MARMG1543XX7G4,inne
18941,Latarka taktyczna,58U8PVC95EVCVDXPZ,inne
18942,Latarka taktyczna,MF1NHW6W9FT1CZN3W,inne
18943,Kajdanki,K022VN2J9GPUFC91S,inne
18944,Glock 19,YAZ008DC111W7PF5J,bron
18945,Volkswagen Crafter,NJJSYVF31927L0C5V,pojazd
18946,Opel Crossland X,AWJ0SPUZ7R1B1KKXT,pojazd
18947,Terminal Bluebird,CXX08ZU781ESJATFS,srodki_lacznosci
18948,Kajdanki,TUBDVHLL8C8MSL05J,inne
18949,H&K G36,0EA55R1E4UVKYY483,bron
18950,Terminal Bluebird,M4ECSZVZ6EE5UT3MF,srodki_lacznosci
18951,Urzadzenie do detekcji narkotykow AlereTM DDS 2,J4AEU1RT1XJK5LFYU,inne
18952,Toyota Corolla,L4K6Y9GH6YXX3V9WA,pojazd
18953,Skoda Superb,ULS5A5YVXWUYKRZXD,pojazd
18954,Radiostacja nasobna,LVK7S91D45FJD2BC0,srodki_lacznosci
18955,Latarka taktyczna,G6U6RCF40HBLNRHR7,inne
18956,Skoda Superb,ZRARYUEP1B7H7LCC0,pojazd
18957,Radiostacja nasobna,SV2H9FR82399AR7VU,srodki_lacznosci
18958,Glock 26,JG8056XZ1H5UNTVME,bron
18959,Sako TRG-21,FLPJHRCKXAHUVMUA1,bron
18960,Tonfa,H8G8XRCK6GMKB4FPN,bron
18961,Apteczka taktyczna,8ARF0AXS30PTNN9VJ,inne
18962,Radiostacja nasobna,YFZ91N654L4ES37AT,srodki_lacznosci
18963,H&K MP5A3,2JAYXPA53EK7GGGPS,bron
18964,Skoda Superb,BT1J6XTL8PXU0MENZ,pojazd
18965,H&K G36,KN2V82YR92W6LM3A6,bron
18966,Terminal Bluebird,RN5A2D9E5LT9TJHB9,srodki_lacznosci
18967,H&K MP5A3,NPLUF4K7XNW96CJUF,bron
18968,Radiostacja nasobna,WNLH81051GCF96LG1,srodki_lacznosci
18969,Beretta APX,2S7G7T438AKBXSF52,bron
18970,Kia Ceed III,F003D32C6ME9GK6WX,pojazd
18971,Glock 17,1LDHVGUJ2CN0M7CYZ,bron
18972,Glock 19,HH9MD9K58KKP53EMU,bron
18973,Glock 17,S0ZVACAZXNME1PWPD,bron
18974,Apteczka taktyczna,0DVALRS60HFVLF02N,inne
18975,Radiostacja nasobna,JCL2VLW5XSPV0ZGS2,srodki_lacznosci
18976,Radiostacja nasobna,ZXSDDBER01CP9X38A,srodki_lacznosci
18977,Latarka taktyczna,VMHF355P9FL88DMK8,inne
18978,Glock 19,JC5ZLTAZ1YX1MA51B,bron
18979,Volkswagen Crafter,2BRYD7AN6BVD3Y1WW,pojazd
18980,Volkswagen Crafter,HK98F5GM3DRV1ZXWK,pojazd
18981,Urzadzenie do detekcji narkotykow AlereTM DDS 2,E4PF2C185X1Z20MJU,inne
18982,Terminal Bluebird,CL625BMS2V01Y2GE6,srodki_lacznosci
18983,Kajdanki,TFRYEPP80WDSGE3LF,inne
18984,Tonfa,BDRKLWR77V3S3SUTU,bron
18985,Volkswagen Crafter,RWTF11GA7L0W0BWY3,pojazd
18986,Kajdanki,PLPSM3W52R1SMBKG8,inne
18987,Volkswagen Transporter,4PBKBR414TXKBLJLD,pojazd
18988,Radiostacja nasobna,9YRY2H756UZC79NGX,srodki_lacznosci
18989,Kamizelka kuloodporna,3X2L4JRGXX0S9REGS,inne
18990,Terminal Bluebird,5FJE3F1U3X3397S7N,srodki_lacznosci
18991,Hyundai Tucson,7T550856465GW025Y,pojazd
18992,Radiostacja nasobna,2KM3TV793SKP83KVU,srodki_lacznosci
18993,Kajdanki,P0RZKSER2UZ2XMJZJ,inne
18994,Kajdanki,CA0XHMDN14KJ5042U,inne
18995,Radiostacja nasobna,FYH77W2F0A6HDWBST,srodki_lacznosci
18996,Terminal Bluebird,DVC3UVMP8S3G9AG7Z,srodki_lacznosci
18997,H&K G36,ECK5U2RS9KL9NWC7H,bron
18998,Glock 17,P796E2JU90TV34TPZ,bron
18999,Radiostacja nasobna,HPS3YXRV0M4R8AU9Z,srodki_lacznosci
19000,Kamizelka kuloodporna,ZYCRRC4V877ZWPJ1K,inne
19001,Kamizelka kuloodporna,WLTBL2GP306P76N9C,inne
19002,Radiostacja nasobna,A5AVUPGY4Y4G6M9SE,srodki_lacznosci
19003,Volkswagen Transporter,V9FC6XME9UHBL6EF7,pojazd
19004,Glock 19,5H2AJCNV2LGTS3XPV,bron
19005,Kajdanki,VT2XWFAY7G3GS57B4,inne
19006,Apteczka taktyczna,9UDXEY4A391DSV07P,inne
19007,Kia Ceed III,YMNHMCP78NAYM2AB1,pojazd
19008,Volkswagen Transporter,2122X13B2EZFNFEFC,pojazd
19009,Terminal Bluebird,LBZV95AT3E6DYCWP7,srodki_lacznosci
19010,Radiostacja nasobna,FMSH607SX80A6UYRS,srodki_lacznosci
19011,Radiostacja nasobna,DLTS5Y28X86JUXFEH,srodki_lacznosci
19012,Kajdanki,8LCVHF3E605RW9HZJ,inne
19013,Radiostacja nasobna,X1PG498L842KBFY1V,srodki_lacznosci
19014,Opel Crossland X,KRAPZD9E0ALN4SUBX,pojazd
19015,Glock 17,V515DUZX26N4AF4RD,bron
19016,Toyota Corolla,D1YE52JJ2BBU7BRR8,pojazd
19017,Radiostacja nasobna,BCKWZRKXXZ2X6KSM0,srodki_lacznosci
19018,Volkswagen Transporter,B66L13T20LVEX757T,pojazd
19019,Apteczka taktyczna,P9K7XTZ0XTC04PFD3,inne
19020,Radiostacja nasobna,D13XAMXP2D5SHZJBA,srodki_lacznosci
19021,Beretta APX,VXZDYHJZ6UNWUUA6C,bron
19022,Apteczka taktyczna,S3VMAY4X2XSFWWG9R,inne
19023,Toyota Corolla,0YSL137T7L0SGRXUR,pojazd
19024,Alkomat AlcoQuant 6020,GLSKETU71PXBY6EUX,inne
19025,Volkswagen Transporter,LB03LHKN9PJB8JUUD,pojazd
19026,Radiostacja nasobna,G80F9WG8739GGM7ML,srodki_lacznosci
19027,HK UMP,UPAUJGZN7659GXJHR,bron
19028,Kamizelka kuloodporna,Z58PMHCT3LM3S1J70,inne
19029,Terminal Bluebird,NLHUDCZ930BKD7X58,srodki_lacznosci
19030,Radiostacja nasobna,P5PRZNS185MD72VLU,srodki_lacznosci
19031,Terminal Bluebird,S8WZDL4E7CARVY66F,srodki_lacznosci
19032,Kia Ceed III,J0BWV2CW9Y10PH92S,pojazd
19033,Radiostacja nasobna,38NL8YF43DDLP8AMW,srodki_lacznosci
19034,Hyundai Tucson,N967A37C554S1ZZXK,pojazd
19035,Toyota Corolla,DY63WAMK0FJ456RNF,pojazd
19036,H&K G36,0DJ52F190Z4CL73MU,bron
19037,H&K MP5A3,VYHCG7TG73U5RTZH3,bron
19038,Kia Ceed III,6MC928B66T5DWAJDK,pojazd
19039,Radiostacja nasobna,4HJFMZN17KF2FDYHJ,srodki_lacznosci
19040,Terminal Bluebird,YBN8N9645LYKRKH2J,srodki_lacznosci
19041,Volkswagen Crafter,JSR6SXRV24H91U5K1,pojazd
19042,BMW serii 3,KWABT04P034Z21Y0C,pojazd
19043,Alkomat AlcoQuant 6020,KK6HKZHD65RCET4PZ,inne
19044,Skoda Superb,VK3209D5XU7XTVGYP,pojazd
19045,Kia Ceed III,MSMSKEXY9ZBDHMBR1,pojazd
19046,Urzadzenie do detekcji narkotykow AlereTM DDS 2,M6AS7T0P5D4PBPCJ7,inne
19047,Kamizelka kuloodporna,GRAU1X1Z1YT0977YU,inne
19048,Beretta APX,JH1ZZTLL96TLTZM7E,bron
19049,Glauberyt PM-98,PD8KZ6HT1L0LD5NGT,bron
19050,Radiostacja nasobna,BYYURSW60CBL9P4RW,srodki_lacznosci
19051,Glock 19,VPNHL9MH6ZK5V2RJB,bron
19052,Terminal Bluebird,DAXZV3R10GDM4XDZE,srodki_lacznosci
19053,Alkomat AlcoQuant 6020,1UNWWL0K7P053XYPC,inne
19054,Terminal Bluebird,HLBNUFUK199WA1V92,srodki_lacznosci
19055,Volkswagen Crafter,NK85H2SG1MM6KYNRS,pojazd
19056,Kia Ceed III,AE50M6A51EZVWD68S,pojazd
19057,Walther P99,EPK6YKPV3490LREYT,bron
19058,Apteczka taktyczna,4T8KUGM1140Z29UP8,inne
19059,Glock 26,HNZC17LKX2G9DUG7W,bron
19060,Glock 19,01W17F7M8GDG7RX2A,bron
19061,Radiostacja nasobna,NZD9S4E82SYSJAWGM,srodki_lacznosci
19062,Latarka taktyczna,JARLVLL29VWDDM5TC,inne
19063,Walther P99,7SMTUN579PRF5CNVY,bron
19064,Terminal Bluebird,WXW9HSXSXD6DM6FL6,srodki_lacznosci
19065,Radiostacja nasobna,YVGYAZ493ZU37AX0F,srodki_lacznosci
19066,Kia Ceed III,H9SX09AK4360SG7R0,pojazd
19067,Hyundai Tucson,X1Y7R0VAXG8LKFL29,pojazd
19068,Latarka taktyczna,MZ0THJKA14WHEL1TZ,inne
19069,Radiostacja nasobna,7EFBKDYS2U8XHAY50,srodki_lacznosci
19070,Alkomat AlcoQuant 6020,SSE49B9YX0DLJXTVV,inne
19071,Skoda Superb,H8C0VAK25U4MJ75ZE,pojazd
19072,Alkomat AlcoQuant 6020,A6V36F3S69C8VWEZS,inne
19073,Skoda Superb,G0F4DC614LMA1EJUR,pojazd
19074,Kia Ceed III,TW38GAHK3ASW92952,pojazd
19075,Glauberyt PM-98,T49DGVWD7XV9HHD6S,bron
19076,Kia Ceed III,STSLS62BX0DJSLK1L,pojazd
19077,H&K MP5A3,500VHYFR0HDM83UDH,bron
19078,Alkomat AlcoQuant 6020,GPX5VUGV0YKJW1HHA,inne
19079,Radiostacja nasobna,HAUVLEZA2D0RB5M0H,srodki_lacznosci
19080,Terminal Bluebird,WRW73UD805NJ6A1S7,srodki_lacznosci
19081,Hyundai Tucson,WPLH1ZN27R54ZX8UB,pojazd
19082,Terminal Bluebird,HB2GNYT266LF8H0WP,srodki_lacznosci
19083,Glock 26,R0NL693C6L6DYJ3ZP,bron
19084,Volkswagen Crafter,R5A44SX31BJX5MDCK,pojazd
19085,Kamizelka kuloodporna,M02N0Y5X3Z5LFHKN9,inne
19086,Radiostacja nasobna,VXNMTNWR7RAGUBV92,srodki_lacznosci
19087,Sako TRG-21,7HKY231U1JAGJVLHU,bron
19088,Glock 26,NNYA668W0ZM0EZYW0,bron
19089,Opel Crossland X,XMEYCBDN2NFFZTB62,pojazd
19090,Apteczka taktyczna,34PH33D05XKAC9M09,inne
19091,Radiostacja nasobna,4F419VCX0109XVLYA,srodki_lacznosci
19092,Volkswagen Crafter,6UZL0KFH38T5Y19XG,pojazd
19093,Radiostacja nasobna,N0X5VLS82U4UEKZTM,srodki_lacznosci
19094,Apteczka taktyczna,9HA2K2TD0EREL0PYG,inne
19095,Volkswagen Transporter,BMZS5Y0V6SM3ZZ9JA,pojazd
19096,Latarka taktyczna,47P1XCAC764ZH8HLH,inne
19097,Radiostacja nasobna,HY01Y5CY2YB731KMK,srodki_lacznosci
19098,Radiostacja nasobna,AU8DV4MG1WKCRUXTG,srodki_lacznosci
19099,BMW serii 3,8HJ3S3RRXJ2RDKUMW,pojazd
19100,Glock 19,TNAD6P2A5XWE7JFNX,bron
19101,Radiostacja nasobna,D0NNS0ZC06WPSV29M,srodki_lacznosci
19102,Toyota Corolla,L3XLJ8KY27ZE3W8PF,pojazd
19103,Radiostacja nasobna,0VZYKXBN7U8N2B5C8,srodki_lacznosci
19104,Volkswagen Crafter,FZZLKGF95UH4VPPGA,pojazd
19105,BMW serii 3,1RC3X22R67XCUF5JM,pojazd
19106,Glauberyt PM-98,6Z15JGH67A6D0LVP4,bron
19107,Terminal Bluebird,5ZMUTYUSXU6SBRPEM,srodki_lacznosci
19108,Opel Crossland X,JUFHGFY55TMCTTV1U,pojazd
19109,H&K MP5A3,RR8F7HKB1VHZMCWZ0,bron
19110,Radiostacja nasobna,CP8W6W6D0SFJYV2TN,srodki_lacznosci
19111,Kajdanki,W4HHMBLZXY6WV2C1C,inne
19112,Kamizelka kuloodporna,X3KD2SV854ZY3AG9F,inne
19113,Radiostacja nasobna,NU7A6WE27DT89UMRH,srodki_lacznosci
19114,Kia Ceed III,YX413TJEXTNMKGS4Z,pojazd
19115,Opel Crossland X,9RS4EGWC3DSLUGRTY,pojazd
19116,BMW serii 3,SMDE4JXT8U8KJM76Z,pojazd
19117,Kamizelka kuloodporna,5WCMWJL596HGG654U,inne
19118,Terminal Bluebird,M1C65USP1ENYD63EB,srodki_lacznosci
19119,Glock 26,V8D0131C3J7DE6XRS,bron
19120,Opel Crossland X,FHFP28K751YV4JHRW,pojazd
19121,Terminal Bluebird,8GMYE4D18M2RXJLTH,srodki_lacznosci
19122,Terminal Bluebird,FENNE3WS6WBGAC60C,srodki_lacznosci
19123,Kia Ceed III,FM4H8XR80N490M417,pojazd
19124,Volkswagen Transporter,FLRYA7R44LNVMBJD1,pojazd
19125,Alkomat AlcoQuant 6020,G3680XB867K1T26RF,inne
19126,Latarka taktyczna,0F0CNTD881BRVHH74,inne
19127,Alkomat AlcoQuant 6020,4FJFHE6X0Y5ENMPS7,inne
19128,Opel Crossland X,K7CRWJ9V1DNECSP4T,pojazd
19129,HK UMP,YM1L2NRB0T1CTN32L,bron
19130,Glock 17,W016X5PE0HARJ9W4D,bron
19131,Radiostacja nasobna,BU4AA3RW09NM6AE9C,srodki_lacznosci
19132,Kia Ceed III,3P3AHR2F05USA784W,pojazd
19133,Urzadzenie do detekcji narkotykow AlereTM DDS 2,66Z2EDSV11RNAYE6W,inne
19134,Radiostacja nasobna,34NVXDLY1PHFMUXRL,srodki_lacznosci
19135,Sako TRG-21,6K9NCV420P3HS3TNG,bron
19136,Alkomat AlcoQuant 6020,D2K22B9RXHT5E053B,inne
19137,Radiostacja nasobna,SNCHX0W812N0K60B9,srodki_lacznosci
19138,Latarka taktyczna,MY83J4FS8DGFTFTER,inne
19139,Glock 19,ZNWPWXK65V6P1F0JN,bron
19140,Sako TRG-21,J06GHBFK1Z5TWRPVK,bron
19141,HK UMP,72JCCJJM12SFBXRDW,bron
19142,H&K MP5A3,M5UZLJKE6L004P9NY,bron
19143,Tonfa,WVMUJRU680UG5M5YG,bron
19144,Latarka taktyczna,28DFMP371PEC0DGKA,inne
19145,Toyota Corolla,0BEV9FTX0XM6LBCP5,pojazd
19146,Glauberyt PM-98,WGTCA5WU44M3N7L7F,bron
19147,Radiostacja nasobna,L0L77N9375MHPE1K7,srodki_lacznosci
19148,Volkswagen Transporter,3XHCGMKF5XXWTBY8S,pojazd
19149,Urzadzenie do detekcji narkotykow AlereTM DDS 2,9MAFWPD28F863E7AY,inne
19150,H&K G36,UJ6KVYGC49GL4VVXF,bron
19151,H&K MP5A3,RFYE1XAG10TR9ZUG0,bron
19152,Skoda Superb,59BUK6BC4TB6LGSWU,pojazd
19153,Glock 19,C9GK079AXKL93JEZV,bron
19154,Toyota Corolla,B5E4RH1769PSJXRM3,pojazd
19155,Kia Ceed III,9DNCRLN984GG9HGHX,pojazd
19156,Kia Ceed III,1GT8KB400KKVP0FM1,pojazd
19157,Tonfa,9LZUGZHC9YWVZCMZ1,bron
19158,Radiostacja nasobna,EGZK6EHG2UJSA6RCP,srodki_lacznosci
19159,Latarka taktyczna,9E9EUA7L1WBPUKA9M,inne
19160,Skoda Superb,FWEC25G25Z5A66MZH,pojazd
19161,Latarka taktyczna,KPM1TXGR88M6ETWTS,inne
19162,Radiostacja nasobna,95NTM7Z982ZG0NYW7,srodki_lacznosci
19163,Terminal Bluebird,MH9F292R2AKCAA8A8,srodki_lacznosci
19164,Glock 19,CN18ZJ030YEZH1WN5,bron
19165,Latarka taktyczna,KMGD0NAY9C7ZX6ME4,inne
19166,Terminal Bluebird,JH1F2W920D1SXB5F9,srodki_lacznosci
19167,Latarka taktyczna,AREZ6HJ54A8L0MXCG,inne
19168,Terminal Bluebird,UX0MW6DWXXXUKSU05,srodki_lacznosci
19169,Skoda Superb,1NAPDR2606557ARCC,pojazd
19170,Kajdanki,7HS9X72D15RZ83578,inne
19171,Radiostacja nasobna,VC336TPK38SX8VPB8,srodki_lacznosci
19172,Radiostacja nasobna,6A16E0HE6THZ395NL,srodki_lacznosci
19173,Terminal Bluebird,0GRPSSCM25F1GZK4B,srodki_lacznosci
19174,Glock 19,5F9LHUCU5L43HGG7P,bron
19175,Radiostacja nasobna,KEVHVRGU6B5MHFVN7,srodki_lacznosci
19176,Glock 17,0KRVL9NJ460YS3LMN,bron
19177,Apteczka taktyczna,CEC31M0880JF82EZ3,inne
19178,Kia Ceed III,NKXYU4YU253ZFLFW4,pojazd
19179,Latarka taktyczna,R55T8HDS7UT2KNHJ5,inne
19180,Walther P99,UJNR6VEZ04T459U8C,bron
19181,Terminal Bluebird,L4P2HBVD3Y9LVZZU9,srodki_lacznosci
19182,Hyundai Tucson,T38RGNC1X6LX8VU64,pojazd
19183,Glock 17,1MAYTE5V0DG6T2ZKF,bron
19184,Glock 19,0SPDLVWV3GZFXJ2C2,bron
19185,Terminal Bluebird,8L0U2HUA3SNKLZ8WS,srodki_lacznosci
19186,Glauberyt PM-98,N9BNR5048UDL1BG43,bron
19187,Urzadzenie do detekcji narkotykow AlereTM DDS 2,5FZ1K1660B9204Z85,inne
19188,Radiostacja nasobna,JURDNVU48W3SUFY28,srodki_lacznosci
19189,Terminal Bluebird,RZ7CA9CJ2SNRJX1YJ,srodki_lacznosci
19190,Kajdanki,8BSJTHVP3NL8FC605,inne
19191,Alkomat AlcoQuant 6020,C3YHK4BG4MFN0MP17,inne
19192,Skoda Superb,TV5ZP19VXTNN645J7,pojazd
19193,Volkswagen Crafter,JYUYE2747L0T8HCW9,pojazd
19194,Glauberyt PM-98,TCRLWT9T2H53R5TBT,bron
19195,Radiostacja nasobna,1SWSPYY76XHBW5KHL,srodki_lacznosci
19196,Radiostacja nasobna,AFCCHPWF2Y4XJN5K1,srodki_lacznosci
19197,Urzadzenie do detekcji narkotykow AlereTM DDS 2,DZ6SAFHZ2D6C0JKAU,inne
19198,Volkswagen Crafter,4P4PWV2J7S4NE3U2G,pojazd
19199,Urzadzenie do detekcji narkotykow AlereTM DDS 2,VUYTANP6XW9C2EK8N,inne
19200,Toyota Corolla,87JCV2VY0NB3GC2T6,pojazd
19201,Radiostacja nasobna,US3375LU7F7JTAHB1,srodki_lacznosci
19202,H&K G36,5J17CW1X85PWZMZYP,bron
19203,Terminal Bluebird,7PD1NMBD8KSVZE5XY,srodki_lacznosci
19204,Terminal Bluebird,28DKEN9E47XJ6NAZ3,srodki_lacznosci
19205,Glauberyt PM-98,5NTWB3N364CXGGRBH,bron
19206,Latarka taktyczna,8YR4P16W108ZKHV7W,inne
19207,Radiostacja nasobna,B7LGBZCK5V78KZ8DD,srodki_lacznosci
19208,HK UMP,5548W4YS1J2TDUXPX,bron
19209,Apteczka taktyczna,BBTCB15Z6U3A9G0NA,inne
19210,Walther P99,W95C7A0SXD1KR4N10,bron
19211,Urzadzenie do detekcji narkotykow AlereTM DDS 2,VV2K8A4X6ZLYKRP7A,inne
19212,Volkswagen Crafter,9HP4KBB31NHX42ZMR,pojazd
19213,Radiostacja nasobna,TXCSPH0P1XULZV4YH,srodki_lacznosci
19214,BMW serii 3,TTZPRJHBXP1RF3RDD,pojazd
19215,BMW serii 3,3RCHFWLS9SDLNTXWD,pojazd
19216,Glock 17,YHUSFF7C4PKBXDSWW,bron
19217,Radiostacja nasobna,410JM7SS6EMJW7DHG,srodki_lacznosci
19218,Kajdanki,2W79A0JB7JPMX8JUD,inne
19219,Urzadzenie do detekcji narkotykow AlereTM DDS 2,1KMU1GS67HACZDGE4,inne
19220,Volkswagen Transporter,ZA6LBFNW7GZL3ZK0Y,pojazd
19221,Radiostacja nasobna,JZ9UYS6S276NAB862,srodki_lacznosci
19222,Urzadzenie do detekcji narkotykow AlereTM DDS 2,E3H6N37GXNM4PPVPD,inne
19223,BMW serii 3,07R2DPZG6U48DHV7W,pojazd
19224,Hyundai Tucson,10UCVZX1X0N4ZS0U6,pojazd
19225,H&K MP5A3,55DC8A626LEVP18XD,bron
19226,Volkswagen Transporter,PVA8JZ9S86UFFMZN9,pojazd
19227,Sako TRG-21,LL77K2NZ64PF247B5,bron
19228,Urzadzenie do detekcji narkotykow AlereTM DDS 2,LT7SRCXP5TCN6RKZ3,inne
19229,Walther P99,7AC2CWG83SB25D4V0,bron
19230,Volkswagen Transporter,YEBLKMTA3YHY4KWVH,pojazd
19231,Latarka taktyczna,JC0439RB9SH9CV0SM,inne
19232,Glauberyt PM-98,ER7430MW0B0PUZJKY,bron
19233,HK UMP,P6T71710880Z9MGB8,bron
19234,Opel Crossland X,7J4FARPKXV8RHUZLH,pojazd
19235,Latarka taktyczna,YVUKXPX225KG2UN2P,inne
19236,Kia Ceed III,1EPCFP0V10LXCHK18,pojazd
19237,Terminal Bluebird,R7VCSLAE4W3ZR7WW7,srodki_lacznosci
19238,Apteczka taktyczna,HSBSZAYJ26WGR330F,inne
19239,Tonfa,WJTMDPCZ46FEM4XUM,bron
19240,Terminal Bluebird,DAWXKV52821K1LYX3,srodki_lacznosci
19241,Alkomat AlcoQuant 6020,MMVBUTR50HTBAK01D,inne
19242,Kajdanki,8GX14F76987XKM6SM,inne
19243,Kia Ceed III,HK7VR6BC1HJ5XCZNZ,pojazd
19244,Radiostacja nasobna,A36XF1ZB76TWBTZ14,srodki_lacznosci
19245,Radiostacja nasobna,K860W3Y74V47UCP01,srodki_lacznosci
19246,Glauberyt PM-98,32TBJNYB3M5382EHJ,bron
19247,Apteczka taktyczna,HJBAM5J4548BCYGBW,inne
19248,Beretta APX,WBG979WZ6C68ZSHYV,bron
19249,Kia Ceed III,4NDJ4TWU8Y8GKV33E,pojazd
19250,H&K MP5A3,XL5V7858XXFHVJEBG,bron
19251,BMW serii 3,S4DY6EM60D7SYN7UT,pojazd
19252,H&K MP5A3,Z7DRHZ791WB3EVBER,bron
19253,Radiostacja nasobna,8RCGLTU01KDP6RVHU,srodki_lacznosci
19254,Radiostacja nasobna,REBY1M7D6J1336YPW,srodki_lacznosci
19255,Terminal Bluebird,2MLJ7J3NX2WP5EEVP,srodki_lacznosci
19256,Kamizelka kuloodporna,9SJBAPDR8C4GRXFMW,inne
19257,Kia Ceed III,YW2A733C8TCJ8CDVF,pojazd
19258,Terminal Bluebird,7VFD1NKG9CJRHY34E,srodki_lacznosci
19259,Radiostacja nasobna,CNPHDK6G3UWP2LFBU,srodki_lacznosci
19260,Latarka taktyczna,GDVT02GT9X9SGEP0S,inne
19261,Toyota Corolla,CUTPDP8BXZ2C30X2G,pojazd
19262,Urzadzenie do detekcji narkotykow AlereTM DDS 2,1EBFYL6119J89DRK5,inne
19263,HK UMP,B6YRD39F6LZ1W3V7Y,bron
19264,Skoda Superb,43FRDC0X4JPGHSTGN,pojazd
19265,Kamizelka kuloodporna,PLEXZ2RT60EGC1KCU,inne
19266,H&K G36,5UEHGJ8559SJAB1T0,bron
19267,Radiostacja nasobna,HDVJ2Y636PB9SVH71,srodki_lacznosci
19268,Apteczka taktyczna,L0T44Y0K73UWZLDDT,inne
19269,BMW serii 3,A823ESNMXC595ZXW5,pojazd
19270,Radiostacja nasobna,A6ARJWF000RSLAP55,srodki_lacznosci
19271,Radiostacja nasobna,5A371ZKJ1Y1AZ14K9,srodki_lacznosci
19272,HK UMP,Z32RABFN6U9XN0PS7,bron
19273,Glock 19,RDSYDMHU88BVU0SAE,bron
19274,Sako TRG-21,X33J78L69J7WRD4VM,bron
19275,Opel Crossland X,GS5Z96A5276H2FBJK,pojazd
19276,Toyota Corolla,5E8YTFUZ9ZCSJUBHP,pojazd
19277,Kamizelka kuloodporna,YF37WJ93X8GVD6VFY,inne
19278,HK UMP,3FPHCZ3R1ENLKPFDJ,bron
19279,HK UMP,TN94X0E689XNBBNP2,bron
19280,Glock 19,R3RX3WD73SY8ACDLJ,bron
19281,Kajdanki,X6KVHHKU3ZD4MAJ0F,inne
19282,Opel Crossland X,GKL5YAJY8SFX0D8K6,pojazd
19283,Kamizelka kuloodporna,0M1YXWPR5J6AC4NU5,inne
19284,Kia Ceed III,1NDWWY2U1UZ2UT2CU,pojazd
19285,Kamizelka kuloodporna,7FS3SU7U72E5EDMHE,inne
19286,Radiostacja nasobna,D1K8KC9E3KJ1TYBBU,srodki_lacznosci
19287,Radiostacja nasobna,DUPWCEV244UC4S69S,srodki_lacznosci
19288,Volkswagen Crafter,57RB43EZ2UC4TZMLE,pojazd
19289,Glauberyt PM-98,CB27VFU01JMTS9A1M,bron
19290,Terminal Bluebird,A3H7AN4D0LTKVGDDK,srodki_lacznosci
