ID,Nazwa,Adres,Zatrudnieni_funkcjonariusze
828,Komisariat 829,"ulica Konwaliowa 155
40-550 Wrzesnia",22
829,Komisariat 830,"ulica Zabia 27/60
67-106 Jaworzno",20
830,Komisariat 831,"pl. Kossaka 90/79
91-880 Tomaszow Mazowiecki",27
831,Komisariat 832,"ulica Konopnickiej 92/39
62-358 Reda",26
832,Komisariat 833,"ul. Magnoliowa 842
18-882 Grodzisk Mazowiecki",21
833,Komisariat 834,"al. Traugutta 987
75-320 Mawa",32
834,Komisariat 835,"aleja Strazacka 677
22-523 Kluczbork",17
835,Komisariat 836,"plac Warszawska 57/87
03-180 Cieszyn",25
836,Komisariat 837,"pl. Rozana 109
80-463 owicz",24
837,Komisariat 838,"ul. Nadbrzezna 49/50
52-963 Ostrowiec Swietokrzyski",32
838,Komisariat 839,"al. Nadbrzezna 96/67
77-589 Konin",18
839,Komisariat 840,"plac Zacisze 74/59
04-387 Zyrardow",13
840,Komisariat 841,"ulica Urocza 53
86-520 Kodzko",23
841,Komisariat 842,"ulica Wroblewskiego 31/51
59-110 Kedzierzyn-Kozle",24
842,Komisariat 843,"plac Grabowa 67
48-728 Siedlce",21
843,Komisariat 844,"ulica Rycerska 29/19
63-866 Opole",17
844,Komisariat 845,"aleja Zurawia 354
84-867 Swiecie",19
845,Komisariat 846,"pl. Starowiejska 87
54-066 Zambrow",19
846,Komisariat 847,"aleja Staffa 36
80-074 Szczytno",31
847,Komisariat 848,"ul. Parkowa 361
21-136 Kutno",18
848,Komisariat 849,"pl. Diamentowa 19/73
09-827 Marki",15
849,Komisariat 850,"ul. Ludowa 72/11
88-805 Lublin",20
850,Komisariat 851,"plac Kielecka 40
93-985 Olkusz",25
851,Komisariat 852,"al. Konopnickiej 12/43
98-001 Skierniewice",15
852,Komisariat 853,"ul. Kaliska 663
48-265 Ciechanow",24
853,Komisariat 854,"ulica Kwiatowa 01/24
40-488 Sochaczew",23
854,Komisariat 855,"al. Orla 07/24
96-899 Zabrze",15
855,Komisariat 856,"pl. Lazurowa 49
91-163 Przemysl",24
856,Komisariat 857,"pl. Widok 38/68
36-750 Augustow",22
857,Komisariat 858,"al. Krakowska 32/52
22-872 Dabrowa Gornicza",23
858,Komisariat 859,"ulica Okrzei 655
96-013 Konin",19
859,Komisariat 860,"ulica Okrzei 40/19
93-293 Cieszyn",19
860,Komisariat 861,"ulica Czarnieckiego 530
21-918 Brodnica",20
861,Komisariat 862,"pl. Rajska 07
62-841 Olsztyn",21
862,Komisariat 863,"pl. Wolnosci 98/29
06-252 Sopot",13
863,Komisariat 864,"aleja Tylna 190
32-401 Tychy",26
864,Komisariat 865,"ul. Wierzbowa 902
33-787 Biaystok",20
865,Komisariat 866,"al. Reja 075
89-001 Biaogard",24
866,Komisariat 867,"al. Wiazowa 74
79-888 Koo",17
867,Komisariat 868,"pl. Wodna 76
84-841 Rybnik",25
868,Komisariat 869,"plac Gdanska 92
52-566 Zary",27
869,Komisariat 870,"aleja Rajska 96/13
70-051 Zabki",29
870,Komisariat 871,"ul. Hutnicza 38/63
48-768 Leszno",19
871,Komisariat 872,"ul. Miodowa 319
65-263 Zabrze",27
872,Komisariat 873,"pl. Pocztowa 95/64
13-273 Krakow",22
873,Komisariat 874,"ulica Prusa 007
25-384 Czeladz",21
874,Komisariat 875,"ul. Maczka 08
29-060 ukow",16
875,Komisariat 876,"ul. Jadwigi 75/34
73-866 Malbork",17
876,Komisariat 877,"ulica Orzechowa 65/00
12-672 Mysowice",15
877,Komisariat 878,"plac Pomorska 84
92-697 Sieradz",16
878,Komisariat 879,"ul. Tuwima 116
16-945 Ostroeka",25
879,Komisariat 880,"ulica Dworcowa 17
30-065 Kluczbork",21
880,Komisariat 881,"ulica Konarskiego 38
26-883 Koscierzyna",14
881,Komisariat 882,"ul. Zakatek 99
39-647 Swiebodzice",25
882,Komisariat 883,"ul. Traugutta 52/56
27-503 ukow",29
883,Komisariat 884,"ulica Sowia 751
87-966 Wabrzych",20
884,Komisariat 885,"ul. Miosza 148
93-660 Bochnia",20
885,Komisariat 886,"al. Morcinka 510
88-234 Rumia",25
886,Komisariat 887,"ul. Orkana 745
61-669 Ostrowiec Swietokrzyski",14
887,Komisariat 888,"pl. Maa 38
34-822 Oawa",23
888,Komisariat 889,"ul. Ludowa 76
61-553 Zgorzelec",8
889,Komisariat 890,"al. Skosna 305
88-087 Wyszkow",13
890,Komisariat 891,"aleja Letnia 89
57-751 Jawor",19
891,Komisariat 892,"ul. Chemonskiego 74/59
47-611 Zawiercie",11
892,Komisariat 893,"al. Wodna 82
65-457 Rumia",17
893,Komisariat 894,"ul. Leszczynowa 28
77-001 Ostroda",28
894,Komisariat 895,"al. Pomorska 16/62
06-275 Kielce",19
895,Komisariat 896,"ul. Wodna 06
52-019 Elblag",27
896,Komisariat 897,"ul. Zeromskiego 417
55-833 Piekary Slaskie",24
897,Komisariat 898,"plac Zabia 56
94-515 Myszkow",17
898,Komisariat 899,"ul. Sawickiej 85/02
17-131 Stargard Szczecinski",14
899,Komisariat 900,"ulica Liliowa 40/94
23-820 Wrocaw",24
900,Komisariat 901,"aleja Towarowa 447
27-678 Zgorzelec",17
901,Komisariat 902,"ul. Topolowa 654
84-218 Wielun",14
902,Komisariat 903,"pl. Zabia 079
59-970 Piastow",19
903,Komisariat 904,"aleja Koataja 98/30
36-249 Czechowice-Dziedzice",13
904,Komisariat 905,"aleja Zdrojowa 24/46
76-140 Wrocaw",25
905,Komisariat 906,"aleja Swierkowa 69/73
99-881 Ek",18
906,Komisariat 907,"pl. Targowa 48/38
74-349 Biaystok",17
907,Komisariat 908,"pl. Witosa 637
68-861 Raciborz",20
908,Komisariat 909,"pl. Kamienna 50/64
53-075 Czechowice-Dziedzice",19
909,Komisariat 910,"al. Jaboniowa 14/37
12-894 aziska Gorne",26
910,Komisariat 911,"ul. Mieszka I 401
15-419 Zgorzelec",13
911,Komisariat 912,"ulica Andersa 01/34
64-543 Ostrow Mazowiecka",25
912,Komisariat 913,"plac Turystyczna 64
46-998 Nowy Targ",19
913,Komisariat 914,"pl. Jaskocza 98
15-040 Brzeg",26
914,Komisariat 915,"pl. Skodowskiej-Curie 09/68
18-729 Bydgoszcz",17
915,Komisariat 916,"ul. Okrzei 97/27
62-581 Woomin",24
916,Komisariat 917,"al. Bema 867
33-895 Krakow",18
917,Komisariat 918,"ulica Narcyzowa 91
34-870 Lubin",20
918,Komisariat 919,"aleja Daszynskiego 70/95
40-824 Ketrzyn",22
919,Komisariat 920,"plac Szymanowskiego 35/38
44-314 Krosno",17
920,Komisariat 921,"al. Bolesawa Krzywoustego 58
75-651 Kluczbork",19
921,Komisariat 922,"ulica Fiokowa 845
01-826 Ruda Slaska",22
922,Komisariat 923,"pl. Nakowskiej 69/09
61-236 Sroda Wielkopolska",20
923,Komisariat 924,"ul. Andersa 92
40-760 Biaystok",20
924,Komisariat 925,"aleja Stroma 24/81
22-160 Wocawek",26
925,Komisariat 926,"al. Cegielniana 40/64
79-992 Brzeg",22
926,Komisariat 927,"ulica Kreta 53
69-406 Swiecie",27
927,Komisariat 928,"ulica Szymanowskiego 58
09-424 owicz",26
928,Komisariat 929,"al. Szkolna 10
80-948 Kalisz",23
929,Komisariat 930,"plac Sowackiego 084
44-962 Zory",23
930,Komisariat 931,"pl. Sowia 792
72-769 Ponsk",22
931,Komisariat 932,"pl. Chmielna 73
94-901 Ostroda",18
932,Komisariat 933,"ulica Gogowa 63/05
35-053 Lubliniec",17
933,Komisariat 934,"ul. Zacisze 475
95-625 Gizycko",20
934,Komisariat 935,"ul. Wypoczynkowa 65
13-088 Biaa Podlaska",26
935,Komisariat 936,"ul. Poniatowskiego 34/38
39-348 Grudziadz",19
936,Komisariat 937,"plac Wieniawskiego 25
44-900 Swarzedz",21
937,Komisariat 938,"plac abedzia 405
17-348 Bielsk Podlaski",17
938,Komisariat 939,"pl. Powstancow 26
63-679 Pock",21
939,Komisariat 940,"aleja Kalinowa 91
31-144 Swidnica",20
940,Komisariat 941,"pl. Szczesliwa 90/88
72-734 Koo",25
941,Komisariat 942,"al. Piastowska 92
97-758 Sroda Wielkopolska",14
942,Komisariat 943,"al. Wiejska 623
42-487 Jawor",18
943,Komisariat 944,"aleja Morska 81
76-911 Siemianowice Slaskie",26
944,Komisariat 945,"al. Korfantego 62/62
75-008 Krasnik",17
945,Komisariat 946,"al. Kaszubska 90
44-515 Swinoujscie",20
946,Komisariat 947,"ulica Olchowa 68/79
69-591 Pruszkow",24
947,Komisariat 948,"ul. Brzoskwiniowa 77
36-028 Nowy Sacz",18
948,Komisariat 949,"pl. Lipowa 21/64
44-658 Piekary Slaskie",16
949,Komisariat 950,"aleja Partyzantow 88
34-521 odz",28
950,Komisariat 951,"pl. Kaliska 55
44-626 Sandomierz",14
951,Komisariat 952,"plac Maja 61
13-159 Bielsk Podlaski",28
952,Komisariat 953,"aleja Poprzeczna 17/87
55-471 Nowa Ruda",23
953,Komisariat 954,"ulica Daszynskiego 615
39-394 Inowrocaw",23
954,Komisariat 955,"pl. Mynska 38/60
91-690 Przemysl",18
955,Komisariat 956,"ulica Kilinskiego 90/14
21-758 Rumia",24
956,Komisariat 957,"pl. Konstytucji 3 Maja 00
05-920 Ostrowiec Swietokrzyski",22
957,Komisariat 958,"pl. Jaworowa 858
30-996 Krotoszyn",16
958,Komisariat 959,"pl. Narcyzowa 58/59
42-415 odz",22
959,Komisariat 960,"ul. Stolarska 10
08-824 Wejherowo",19
960,Komisariat 961,"plac Wczasowa 305
24-543 Pia",21
961,Komisariat 962,"pl. Narutowicza 42
09-142 Krasnik",21
962,Komisariat 963,"ul. Harcerska 76
72-644 Suwaki",21
963,Komisariat 964,"ulica Leszczynowa 397
58-931 Piotrkow Trybunalski",21
964,Komisariat 965,"aleja Skosna 849
07-668 Kodzko",17
965,Komisariat 966,"al. Robotnicza 12/08
81-282 Bielsk Podlaski",23
966,Komisariat 967,"pl. Wieniawskiego 26/00
49-716 Lebork",18
967,Komisariat 968,"ul. Srebrna 368
45-991 Oswiecim",21
968,Komisariat 969,"al. Irysowa 82
01-238 Bechatow",19
969,Komisariat 970,"ulica Tysiaclecia 04
96-029 Szczecinek",22
970,Komisariat 971,"al. Stycznia 93
41-825 Mikoow",12
971,Komisariat 972,"al. Cedrowa 82/14
77-130 Leszno",24
972,Komisariat 973,"pl. Cicha 22
86-220 Lublin",19
973,Komisariat 974,"ulica Dabrowskiej 75
46-704 Sosnowiec",23
974,Komisariat 975,"ul. Zakole 97/62
09-871 Grudziadz",24
975,Komisariat 976,"al. Willowa 49
41-044 Raciborz",12
976,Komisariat 977,"pl. Turystyczna 750
58-439 aziska Gorne",16
977,Komisariat 978,"ul. Zielona 81
95-713 Marki",11
978,Komisariat 979,"al. Morelowa 916
32-262 Piotrkow Trybunalski",19
979,Komisariat 980,"al. Kaliska 905
56-498 Inowrocaw",25
980,Komisariat 981,"pl. Mazurska 89/07
80-055 Wrocaw",17
981,Komisariat 982,"plac Zota 43
94-041 Piaseczno",22
982,Komisariat 983,"pl. Jastrzebia 69/77
64-132 Nysa",20
983,Komisariat 984,"plac Odrzanska 949
81-513 Biaogard",18
984,Komisariat 985,"al. Jana Sobieskiego 03/71
62-822 Nowy Sacz",21
985,Komisariat 986,"plac Zakole 95
65-997 Suwaki",17
986,Komisariat 987,"ulica Spacerowa 896
53-924 Radomsko",16
987,Komisariat 988,"ulica Tysiaclecia 51/35
97-207 Kielce",28
988,Komisariat 989,"plac Zielna 179
33-529 Czerwionka-Leszczyny",17
989,Komisariat 990,"al. Sikorskiego 525
59-302 Goleniow",9
990,Komisariat 991,"ulica Jasna 361
98-268 Sosnowiec",23
991,Komisariat 992,"pl. Bema 452
63-425 Ek",19
992,Komisariat 993,"pl. Bydgoska 64
66-991 Piotrkow Trybunalski",24
993,Komisariat 994,"ulica Spokojna 745
97-048 Kluczbork",11
994,Komisariat 995,"ul. Staszica 51/83
04-091 odz",13
995,Komisariat 996,"al. Koataja 31/53
78-997 Polkowice",16
996,Komisariat 997,"aleja Powstancow Wielkopolskich 21
48-004 Jaworzno",14
997,Komisariat 998,"ulica Szmaragdowa 225
18-325 Mielec",28
998,Komisariat 999,"plac Wislana 05
34-936 Gorzow Wielkopolski",18
999,Komisariat 1000,"ul. Lubelska 08
36-578 Swarzedz",13
1000,Komisariat 1001,"ulica Cicha 386
77-900 Torun",19
1001,Komisariat 1002,"ulica Zapolskiej 45
48-067 Koscierzyna",18
1002,Komisariat 1003,"al. Spodzielcza 12
40-115 Suwaki",21
1003,Komisariat 1004,"pl. Starowiejska 453
86-966 Koscian",20
1004,Komisariat 1005,"ulica Powstancow Slaskich 733
99-667 Starogard Gdanski",18
1005,Komisariat 1006,"ul. Listopada 70/78
01-183 Krasnik",17
1006,Komisariat 1007,"plac Wrzosowa 47/68
83-472 Zywiec",13
1007,Komisariat 1008,"ul. Jana Sobieskiego 07/91
43-268 Krakow",24
1008,Komisariat 1009,"ulica Szpitalna 01/79
04-905 Ciechanow",16
1009,Komisariat 1010,"pl. Jana III Sobieskiego 77
60-466 Swidnica",30
1010,Komisariat 1011,"ulica Wczasowa 41/30
93-201 Ruda Slaska",17
1011,Komisariat 1012,"aleja Zielona 37
36-283 Gniezno",20
1012,Komisariat 1013,"ul. Targowa 520
78-439 Torun",20
1013,Komisariat 1014,"pl. Dugosza 17
07-715 Ostroda",17
1014,Komisariat 1015,"aleja Skrajna 13/57
07-182 Supsk",10
1015,Komisariat 1016,"al. Korczaka 28
81-090 Chorzow",19
1016,Komisariat 1017,"ul. Jeziorna 085
88-205 Zakopane",19
1017,Komisariat 1018,"aleja Widok 793
07-923 Koo",19
1018,Komisariat 1019,"aleja Dugosza 61
85-035 Jelenia Gora",18
1019,Komisariat 1020,"al. aczna 567
19-493 Ostrow Mazowiecka",17
1020,Komisariat 1021,"ul. Handlowa 691
42-313 Gizycko",23
1021,Komisariat 1022,"pl. Ceglana 22/14
59-664 Lubin",22
1022,Komisariat 1023,"plac Dolna 81/15
84-870 Kodzko",17
1023,Komisariat 1024,"pl. Szczesliwa 425
34-052 Chorzow",28
1024,Komisariat 1025,"al. Morcinka 850
05-080 Swiecie",17
1025,Komisariat 1026,"aleja Skargi 661
62-434 Ostrow Wielkopolski",24
1026,Komisariat 1027,"al. Rubinowa 951
97-066 aziska Gorne",25
1027,Komisariat 1028,"aleja Radosna 10/31
84-824 Reda",19
1028,Komisariat 1029,"plac Jarzebinowa 43/97
80-068 Nowy Dwor Mazowiecki",23
1029,Komisariat 1030,"pl. Jana 81
51-567 Sandomierz",26
1030,Komisariat 1031,"al. Chmielna 078
98-090 Starogard Gdanski",21
1031,Komisariat 1032,"ul. Prosta 476
21-968 Warszawa",17
1032,Komisariat 1033,"aleja Gornicza 778
20-973 Grudziadz",17
1033,Komisariat 1034,"ul. Sokola 26/28
56-974 Nowy Sacz",24
1034,Komisariat 1035,"pl. Grunwaldzka 00/43
95-063 Zawiercie",24
1035,Komisariat 1036,"ul. Batalionow Chopskich 429
16-665 omza",23
1036,Komisariat 1037,"ul. Baczynskiego 485
27-385 Torun",16
1037,Komisariat 1038,"pl. Malczewskiego 29/65
01-401 Nowa Ruda",23
1038,Komisariat 1039,"plac Kosciuszki 824
26-114 Kutno",17
1039,Komisariat 1040,"aleja Ceglana 48/73
35-316 Sieradz",19
1040,Komisariat 1041,"plac Debowa 74/70
74-958 Legnica",18
1041,Komisariat 1042,"al. Skosna 32/17
30-230 Knurow",23
1042,Komisariat 1043,"aleja Gogowa 83
85-352 Koo",30
1043,Komisariat 1044,"aleja Floriana 886
90-705 Puawy",28
1044,Komisariat 1045,"pl. Glowna 27
91-466 Koszalin",24
1045,Komisariat 1046,"al. Sportowa 25
73-630 Brzeg",22
1046,Komisariat 1047,"pl. Fabryczna 34
11-452 Pruszcz Gdanski",19
1047,Komisariat 1048,"ul. Jesionowa 97
73-414 Kwidzyn",21
1048,Komisariat 1049,"plac Wyszynskiego 336
31-224 Jelenia Gora",20
1049,Komisariat 1050,"al. Brzozowa 988
95-765 Zamosc",23
1050,Komisariat 1051,"ul. Gowackiego 94
26-749 Krotoszyn",25
1051,Komisariat 1052,"ulica Gaczynskiego 00/05
43-354 aziska Gorne",22
1052,Komisariat 1053,"plac Rubinowa 420
31-674 Bolesawiec",19
1053,Komisariat 1054,"ulica Orla 263
52-347 Debica",26
1054,Komisariat 1055,"aleja Wroblewskiego 03/32
53-261 Zywiec",17
1055,Komisariat 1056,"ul. Plazowa 47/33
96-844 Piastow",24
1056,Komisariat 1057,"ul. Zwirowa 30/49
90-970 Tarnobrzeg",24
1057,Komisariat 1058,"pl. Rycerska 101
71-118 Opole",27
1058,Komisariat 1059,"plac Klasztorna 52/70
98-371 Nowy Sacz",19
1059,Komisariat 1060,"al. Browarna 00
58-820 Ostrowiec Swietokrzyski",23
1060,Komisariat 1061,"plac Bema 70/15
36-752 Biaa Podlaska",22
1061,Komisariat 1062,"ul. Gaczynskiego 26
11-699 Sochaczew",23
1062,Komisariat 1063,"aleja Szewska 72
05-273 Swiebodzice",21
1063,Komisariat 1064,"al. Mickiewicza 72
58-003 Zielona Gora",26
1064,Komisariat 1065,"ul. Grottgera 05
78-870 Zabrze",20
1065,Komisariat 1066,"aleja Sienkiewicza 45
31-372 Nowy Targ",25
1066,Komisariat 1067,"al. Ptasia 72/95
06-560 Pock",20
1067,Komisariat 1068,"aleja Pocztowa 53/59
50-699 Zory",17
1068,Komisariat 1069,"aleja Powstancow Wielkopolskich 390
17-060 Sandomierz",14
1069,Komisariat 1070,"plac Malczewskiego 30
64-133 Lublin",16
1070,Komisariat 1071,"ulica Kilinskiego 91
57-230 Gorlice",24
1071,Komisariat 1072,"ul. Zachodnia 62
59-346 Elblag",22
1072,Komisariat 1073,"al. Wiklinowa 20/55
40-657 Nysa",21
1073,Komisariat 1074,"al. Zwirowa 456
61-258 Swidnik",23
1074,Komisariat 1075,"plac Opolska 72/03
99-259 Czerwionka-Leszczyny",18
1075,Komisariat 1076,"ul. aczna 04
37-467 Lubliniec",27
1076,Komisariat 1077,"plac Zdrojowa 24/05
17-806 Pruszkow",13
1077,Komisariat 1078,"al. Konstytucji 3 Maja 15/09
98-419 Turek",31
1078,Komisariat 1079,"al. Turkusowa 720
28-599 Wocawek",23
1079,Komisariat 1080,"al. Grzybowa 09
52-408 Skierniewice",22
1080,Komisariat 1081,"plac Kilinskiego 19
61-845 Nowy Dwor Mazowiecki",23
1081,Komisariat 1082,"plac Jesienna 66/95
40-436 Olesnica",24
1082,Komisariat 1083,"ulica Spacerowa 61
72-493 Jelenia Gora",17
1083,Komisariat 1084,"ulica Miosza 811
91-221 Koszalin",22
1084,Komisariat 1085,"aleja Sokola 48
63-573 ukow",19
1085,Komisariat 1086,"ulica Osiedlowa 50/74
23-625 Malbork",14
1086,Komisariat 1087,"ulica Koscielna 89/32
40-107 Debica",17
1087,Komisariat 1088,"plac Skargi 969
98-621 Bielawa",21
1088,Komisariat 1089,"ulica Reymonta 32
80-307 Wocawek",20
1089,Komisariat 1090,"plac Jastrzebia 54/60
80-837 Pszczyna",16
1090,Komisariat 1091,"aleja Waska 409
86-298 Cieszyn",20
1091,Komisariat 1092,"aleja Skosna 90
63-830 Rzeszow",17
1092,Komisariat 1093,"plac Jaworowa 51
68-835 Gorzow Wielkopolski",15
1093,Komisariat 1094,"ul. Krakowska 069
78-284 Kielce",25
1094,Komisariat 1095,"aleja Lawendowa 873
04-294 Ostrow Wielkopolski",28
1095,Komisariat 1096,"al. Bankowa 988
86-358 Czestochowa",21
1096,Komisariat 1097,"al. Staszica 364
30-654 Ciechanow",22
1097,Komisariat 1098,"al. Krucza 381
21-942 Nowa Ruda",21
1098,Komisariat 1099,"ulica Wojska Polskiego 867
36-041 Reda",13
1099,Komisariat 1100,"pl. Zapolskiej 76/61
16-568 Chorzow",31
1100,Komisariat 1101,"pl. Traugutta 27/16
46-586 Wrocaw",18
1101,Komisariat 1102,"aleja Diamentowa 03
10-054 Tarnobrzeg",15
1102,Komisariat 1103,"ulica Bekitna 548
16-518 Mikoow",15
1103,Komisariat 1104,"plac Wiatraczna 95
49-041 Legionowo",21
1104,Komisariat 1105,"plac Konopnickiej 47
47-904 Bydgoszcz",20
1105,Komisariat 1106,"ul. Kolejowa 270
65-321 Czestochowa",20
1106,Komisariat 1107,"plac abedzia 43
66-215 Ciechanow",25
1107,Komisariat 1108,"ulica Korczaka 11/67
61-228 Chem",28
1108,Komisariat 1109,"ulica Leszczynowa 26/78
64-800 Biaogard",19
1109,Komisariat 1110,"al. Jana 782
31-859 Ruda Slaska",13
1110,Komisariat 1111,"pl. Jadwigi 507
18-093 Oswiecim",21
1111,Komisariat 1112,"aleja Srednia 61/72
62-296 Grodzisk Mazowiecki",14
1112,Komisariat 1113,"al. Cmentarna 926
48-501 Kalisz",24
1113,Komisariat 1114,"al. Jana 58
35-262 Kalisz",19
1114,Komisariat 1115,"al. Batycka 013
26-319 Rzeszow",27
1115,Komisariat 1116,"pl. Powstancow Wielkopolskich 713
38-531 Jawor",13
1116,Komisariat 1117,"ulica Kamienna 796
61-406 Wacz",18
1117,Komisariat 1118,"ulica Skosna 236
43-573 Lublin",15
1118,Komisariat 1119,"al. Jesienna 89
09-845 Wielun",25
1119,Komisariat 1120,"al. Strzelecka 28
94-158 Czestochowa",23
1120,Komisariat 1121,"al. Kielecka 706
66-310 Gdansk",28
1121,Komisariat 1122,"ul. Bolesawa Chrobrego 00/60
72-659 Rzeszow",19
1122,Komisariat 1123,"pl. Mysliwska 271
30-732 Pock",26
1123,Komisariat 1124,"pl. Staffa 191
44-539 Zambrow",11
1124,Komisariat 1125,"al. Sowia 35/90
32-358 Sieradz",26
1125,Komisariat 1126,"ulica Niecaa 94
54-226 Marki",18
1126,Komisariat 1127,"al. Jadwigi 92/27
54-585 Pia",15
1127,Komisariat 1128,"ulica Kilinskiego 88
67-926 Poznan",21
1128,Komisariat 1129,"al. Wysoka 983
61-120 Zgorzelec",16
1129,Komisariat 1130,"pl. Lazurowa 52/34
28-609 Malbork",25
1130,Komisariat 1131,"ulica Zakatek 826
60-565 Wocawek",25
1131,Komisariat 1132,"pl. Szczesliwa 60/00
36-312 Nowy Sacz",17
1132,Komisariat 1133,"ulica Miosza 21/64
20-839 Bielsko-Biaa",24
1133,Komisariat 1134,"al. Mynska 44/20
23-169 Tczew",22
1134,Komisariat 1135,"plac Krzywa 65
09-362 Debica",14
1135,Komisariat 1136,"aleja Sciegiennego 64/02
39-029 Bytom",21
1136,Komisariat 1137,"ul. Kaliska 25/39
70-513 Ek",17
1137,Komisariat 1138,"al. Brzechwy 33/01
42-978 Chorzow",20
1138,Komisariat 1139,"ul. Tulipanowa 54
30-261 Zyrardow",20
1139,Komisariat 1140,"plac Grabowa 05
15-015 Legnica",20
1140,Komisariat 1141,"ul. Plater 50
27-078 Starogard Gdanski",12
1141,Komisariat 1142,"plac Niecaa 53
38-079 Sieradz",12
1142,Komisariat 1143,"pl. Jesienna 674
57-200 Gliwice",17
1143,Komisariat 1144,"al. Kusocinskiego 87/82
10-350 Puawy",18
1144,Komisariat 1145,"al. Kilinskiego 00/11
27-191 Jarosaw",20
1145,Komisariat 1146,"plac Maczka 16/72
44-933 Opole",18
1146,Komisariat 1147,"ul. Staffa 28/87
24-932 Piaseczno",15
1147,Komisariat 1148,"ul. Zielona 95/18
01-334 Oawa",18
1148,Komisariat 1149,"plac Jana 866
38-378 Kielce",22
1149,Komisariat 1150,"al. Orzeszkowej 62/53
98-016 Sanok",23
1150,Komisariat 1151,"aleja Moniuszki 74
06-127 Starachowice",22
1151,Komisariat 1152,"plac Wrzosowa 781
60-183 Nowy Dwor Mazowiecki",8
1152,Komisariat 1153,"pl. Orzeszkowej 01/63
85-549 Zgierz",12
1153,Komisariat 1154,"ulica Wczasowa 69
47-946 Zielona Gora",18
1154,Komisariat 1155,"pl. Chemonskiego 56
71-458 Swarzedz",15
1155,Komisariat 1156,"aleja Krancowa 80/15
01-637 Minsk Mazowiecki",22
1156,Komisariat 1157,"aleja Kaszubska 96
80-216 Supsk",17
1157,Komisariat 1158,"plac Zwyciestwa 71/87
48-812 Pruszcz Gdanski",20
1158,Komisariat 1159,"ul. Dobra 959
47-767 Opole",19
1159,Komisariat 1160,"ul. Rejtana 86/13
97-529 Wodzisaw Slaski",19
1160,Komisariat 1161,"aleja Towarowa 779
56-034 Oawa",19
1161,Komisariat 1162,"ulica Sawickiej 15/22
02-540 Lubartow",13
1162,Komisariat 1163,"pl. Miosza 71
28-916 Biaa Podlaska",18
1163,Komisariat 1164,"al. Swierczewskiego 63/09
39-997 Cieszyn",23
1164,Komisariat 1165,"ulica Warszawska 488
58-137 Skawina",19
1165,Komisariat 1166,"ulica Zwirowa 49/77
11-196 Lebork",19
1166,Komisariat 1167,"ulica Turystyczna 713
15-221 Zabrze",14
1167,Komisariat 1168,"plac Jeziorna 14
98-814 Pruszcz Gdanski",27
1168,Komisariat 1169,"pl. Lesna 14
62-191 Gdynia",13
1169,Komisariat 1170,"pl. Srebrna 29
77-491 Reda",25
1170,Komisariat 1171,"al. Wyzwolenia 66
18-610 Bytom",15
1171,Komisariat 1172,"ul. Zauek 91/30
34-367 Czestochowa",24
1172,Komisariat 1173,"ulica Puaskiego 07/78
92-656 Malbork",28
1173,Komisariat 1174,"ulica Armii Krajowej 94/15
12-499 Knurow",17
1174,Komisariat 1175,"aleja Zielna 27/04
95-995 Nowy Sacz",19
1175,Komisariat 1176,"ul. Wspolna 778
12-152 Jarosaw",21
1176,Komisariat 1177,"pl. Bukowa 857
90-102 Konin",22
1177,Komisariat 1178,"plac Poznanska 13/33
67-047 Torun",17
1178,Komisariat 1179,"al. Zaciszna 28/07
40-345 Sanok",17
1179,Komisariat 1180,"al. Poniatowskiego 50
60-863 Sosnowiec",25
1180,Komisariat 1181,"ul. Kruczkowskiego 60/35
98-820 Jastrzebie-Zdroj",25
1181,Komisariat 1182,"pl. Warynskiego 02/95
48-088 Wodzisaw Slaski",17
1182,Komisariat 1183,"pl. Widok 36
26-938 Nowy Dwor Mazowiecki",18
1183,Komisariat 1184,"ul. Bema 27/81
54-725 Minsk Mazowiecki",26
1184,Komisariat 1185,"ul. Wislana 039
97-308 Dabrowa Gornicza",22
1185,Komisariat 1186,"ul. Andersa 55/92
91-531 Turek",20
1186,Komisariat 1187,"al. Kazimierza Wielkiego 85
66-019 Polkowice",30
1187,Komisariat 1188,"aleja Malczewskiego 60/41
15-153 Siemianowice Slaskie",24
1188,Komisariat 1189,"aleja Gorska 731
57-809 Pock",16
1189,Komisariat 1190,"aleja Sokola 48/94
66-250 Augustow",24
1190,Komisariat 1191,"ul. Stefana Batorego 823
99-568 omza",20
1191,Komisariat 1192,"pl. Zurawia 896
47-115 Siedlce",21
1192,Komisariat 1193,"plac Niecaa 55
62-158 Lubon",30
1193,Komisariat 1194,"ul. Wyspianskiego 907
50-134 Sosnowiec",16
1194,Komisariat 1195,"ulica Spacerowa 56
95-131 Olsztyn",16
1195,Komisariat 1196,"pl. Turystyczna 264
08-339 Sroda Wielkopolska",23
1196,Komisariat 1197,"al. Daleka 36
85-902 Gniezno",21
1197,Komisariat 1198,"aleja abedzia 66/76
56-943 Lubin",25
1198,Komisariat 1199,"al. Srednia 737
78-434 Myszkow",19
1199,Komisariat 1200,"plac Lesna 90/13
42-991 Pruszkow",13
1200,Komisariat 1201,"ul. Chmielna 377
51-947 Leszno",20
1201,Komisariat 1202,"aleja Wadysawa Jagiey 18/29
62-608 Kedzierzyn-Kozle",28
1202,Komisariat 1203,"al. Wysoka 393
09-329 Kluczbork",21
1203,Komisariat 1204,"pl. Szpitalna 61/59
57-714 Tarnowskie Gory",16
